geneName,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
"CELE_Y62E10A,13",15.033,13.3158,13.2742,13.3989,13.4942,13.8845,13.8712,13.6388
cars-1,15.7675,15.7773,15.7113,15.6432,16.0888,15.7628,15.7788,16.1181
eps-8,12.5189,13.0355,11.8518,13.1362,13.6373,12.5531,12.7802,13.2235
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",15.9997,16.0292,15.9521,15.9332,16.5923,16.5336,16.4166,16.889
pezo-1,14.0249,14.2203,14.3511,14.0234,13.8155,14.1636,14.1229,14.2687
twk-9,18.3173,18.0618,18.3394,17.8726,17.3976,17.1534,17.8241,17.5571
epi-1,16.7993,16.8157,16.8808,16.5653,16.8657,16.7427,17.0923,16.9885
kdin-1,13.0104,12.8672,12.953,13.002,13.6681,13.8291,13.4314,13.5216
tag-273,16.7957,16.6892,16.7458,16.7035,15.9665,15.8482,16.026,16.1803
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.9012,12.7524,12.5408,12.1888,12.2756,12.3501,10.9582,12.1981
pps-1,14.6849,13.7357,13.9037,13.413,15.3031,13.9893,14.1854,15.2644
cka-1,14.1753,14.2682,13.9052,14.4305,14.182,15.2123,15.0108,14.2918
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",12.7977,12.8163,12.7774,12.8972,13.3919,13.4873,13.3822,13.5391
spp-18,13.6529,15.2626,14.344,14.6621,14.7652,15.4042,15.9958,16.5278
lin-66,13.9599,13.5927,13.7867,13.3555,13.7457,13.1536,12.5701,11.2878
"CELE_F09E10,7",13.4822,13.2835,13.7968,12.5132,13.1297,13.6954,13.5721,13.5913
"CELE_F10C1,9",13.4519,13.0365,14.0339,12.836,14.5513,14.0597,14.1416,14.0431
itx-1,14.3602,13.8227,14.023,13.8797,14.8645,14.8632,14.8308,14.718
"CELE_Y41E3,7",14.437,14.1755,14.1049,14.0022,14.6259,14.8664,15.37,13.9504
"CELE_Y105C5B,15",14.1822,13.5679,13.9529,13.334,13.2965,12.9016,12.9735,13.2549
lim-9,15.1094,14.9499,15.542,15.0749,14.5234,14.4169,14.8993,14.6719
"CELE_Y105E8A,25",14.3318,13.9801,13.7444,13.0567,13.2962,13.2075,13.7434,13.4407
pgp-2,15.0493,14.8721,14.8834,14.7244,14.7292,14.8409,14.8326,14.8153
lpd-3,16.2304,16.0431,14.4429,15.1278,14.7406,16.5295,17.4577,17.254
tln-1,16.0092,13.4848,14.7696,13.4221,13.7721,13.5973,14.1944,13.9062
max-2,13.5153,12.2491,13.2763,13.8107,14.2807,13.6385,13.8102,14.131
egl-27,13.3076,13.3039,13.5169,13.701,13.5924,15.3326,14.5495,13.7417
cdc-14,11.0256,10.6159,10.6167,10.841,10.0184,9.87131,9.89537,9.90331
daf-16,14.0404,13.7714,13.8167,13.92,13.4251,13.116,13.6714,13.4711
"CELE_T16H12,3;T16H12,3",12.8504,12.4177,13.3509,11.8584,12.4847,13.4082,13.6087,12.207
lev-11,15.5017,15.3856,15.1109,14.5788,13.6743,13.3467,13.5871,14.0535
gld-2,11.771,12.8416,11.72,12.4886,13.0836,13.5281,13.015,11.7589
ncl-1,15.1437,14.4379,14.5374,14.4959,15.027,15.1476,15.1867,14.9605
"CELE_D1069,3",11.9118,12.1038,12.8008,12.5522,12.4808,10.997,11.3155,6.29544
lin-23,13.1779,13.241,12.8194,13.2696,14.6164,14.6201,14.8182,14.7393
"CELE_Y50D4B,1",13.1414,13.1551,12.9483,13.5493,13.6227,12.8805,13.0266,15.548
"CELE_Y39A1A,21",10.8572,9.59846,10.5046,10.6183,11.3098,11.7244,11.9371,12.1402
dre-1,17.5411,16.747,16.9177,17.0942,16.8521,17.5528,17.5296,17.0168
gck-1,14.3503,14.2965,14.0295,14.1474,15.126,15.0707,14.7736,14.886
gly-7,15.2911,13.9644,14.1441,13.7363,14.4632,13.9384,14.0462,14.235
"CELE_F40A3,3;F40A3,3",18.5411,18.4763,18.5505,18.2987,17.6745,18.587,18.0588,17.8006
"CELE_Y50D4B,4",14.9002,14.9816,14.9892,14.9089,14.7622,15.344,15.3902,15.3831
cdf-1,10.9376,10.6472,10.7921,10.746,13.5598,12.8471,12.2454,12.3073
unc-34,16.7764,16.3451,13.3088,15.1487,16.1005,16.2428,15.4881,15.338
tbh-1,15.3663,15.3492,15.5883,15.0892,14.8463,13.869,14.1361,14.6965
lev-11,21.7474,22.1143,22.0065,21.4276,21.6604,21.8609,21.7249,21.1096
imp-3,13.3818,13.1706,12.9138,13.224,11.6595,11.537,11.9189,12.0689
prdx-2,21.9418,21.7497,21.7763,21.7001,20.93,21.236,21.3004,21.2097
jhdm-1,14.5113,14.5323,14.7196,14.1443,14.3853,14.2042,13.9326,13.8015
mrck-1,13.0162,11.8051,12.8231,12.0398,13.3518,13.2695,13.1939,13.5251
nhr-86,11.6752,10.9989,11.4704,11.1694,12.3253,12.373,12.634,12.7489
aat-3,13.6455,13.2998,12.6054,12.8474,12.1389,13.0892,12.9022,12.4945
"CELE_M02H5,8",18.0799,17.9544,17.8609,17.9541,18.7358,18.3593,18.3323,18.1816
"CELE_T08B1,1",14.2979,14.5233,14.602,14.4496,15.4472,15.5818,15.5373,15.2916
lipl-5,13.2047,13.1923,13.5453,12.7198,14.6172,14.4394,14.1656,14.5566
fln-2,16.3382,16.225,16.1405,15.8562,15.8547,15.4755,15.7544,15.8749
"C14C6,5",14.6652,14.5774,14.5304,14.5023,13.4761,13.7285,14.4,13.8321
"CELE_T08B1,1",10.9633,10.7178,10.801,10.7331,9.92087,9.83609,9.95917,9.86356
zig-11,13.1376,12.9935,13.2651,12.7266,12.6669,12.4196,12.6057,13.0438
ilys-5,14.6293,13.7522,14.0625,13.9497,17.7451,17.5708,17.6705,17.9189
irg-3,12.9895,13.6276,13.4423,13.8067,14.5273,14.1672,14.347,14.7562
tns-1,15.3917,15.3103,15.3597,15.1448,14.9621,15.0611,14.9681,14.9841
ubr-4,12.9748,12.0796,11.9757,12.4436,12.4933,13.1581,12.2734,13.0165
ccar-1,15.1967,14.7468,14.4661,15.0081,14.9522,15.1393,15.5796,15.0925
ulp-2,13.0999,13.0408,13.1241,12.4987,12.7519,13.8253,12.2326,13.9428
"CELE_T23F4,2",14.0388,12.8363,13.8535,13.3663,14.0498,13.1419,13.5994,13.9626
sago-1,13.6706,13.845,13.8241,15.3813,13.4302,13.4341,13.3097,13.2551
sago-2,12.7837,12.9861,13.3497,13.2385,11.8545,11.9899,12.216,13.436
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",13.075,11.9628,11.6702,11.7729,13.6684,13.1754,13.0629,13.1592
daf-4,14.1946,13.8292,14.0122,13.5697,13.7149,13.1534,13.8904,13.247
hpo-3,10.9269,10.6138,10.7563,10.5418,10.424,11.9341,11.8484,10.5638
acs-22,14.9708,15.4404,14.7526,14.8316,14.6643,14.6948,14.526,14.4845
tag-10,15.7694,15.8648,15.5982,15.5687,14.8529,15.4464,15.6012,15.3167
imb-2,13.2929,13.1286,13.3316,13.5981,14.2464,13.7576,13.8201,13.4258
brf-1,12.7211,11.6758,12.478,12.8654,12.2107,11.89,11.9915,12.3855
"CELE_W09B6,4",13.5935,13.3194,13.3481,12.9404,12.7863,13.1092,13.2238,13.7984
irg-7,18.0058,17.6724,17.7368,17.5448,18.4433,18.1981,17.9343,17.8635
"CELE_F27B10,1",12.2768,12.5617,12.0353,11.7352,12.9254,14.2495,14.251,12.7808
"CELE_T22F3,3",13.3505,12.5887,12.4551,11.8211,9.88843,9.835,9.84919,9.97705
die-1,14.5519,14.54,14.5911,15.048,12.188,12.711,12.9452,12.8769
dhs-11,15.8107,15.5416,15.5062,15.8157,15.0334,15.1715,15.2211,14.8428
tbc-14,14.7813,14.4442,14.3378,13.9264,14.4735,14.6009,14.4625,14.6856
cyp-34a6,15.1085,14.0355,14.4946,14.391,13.1808,13.1618,12.5421,13.1831
fipp-1,14.3778,14.7669,14.1293,14.376,14.3137,13.6219,13.703,14.5507
unc-132,13.7506,13.6741,13.4341,13.9941,14.8457,14.5438,14.8722,15.1207
cdh-4,14.9862,13.8023,14.4912,14.11,14.6285,10.7644,12.3328,12.1037
ajm-1,10.969,11.3314,10.6331,10.8396,11.6345,9.20727,9.73068,9.71515
"CELE_ZC412,3",17.4613,17.1581,17.2477,17.3517,16.3825,16.3468,16.0183,16.3954
farl-11,11.582,10.7392,10.7965,10.1852,12.5623,12.2601,12.5787,11.0992
let-711,13.8113,13.8712,13.8529,14.8605,14.9091,14.9139,14.7055,14.8083
"C40H1,7",14.1071,14.3282,14.2221,14.2521,14.2645,13.5869,14.2285,15.5304
spat-2,14.9535,14.736,14.9911,15.1045,14.5842,14.6005,15.0498,14.4684
