geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04
eps-8;G5ED33,21.5417,20.6052,21.8186,21.6586,16.7072,19.1966,20.1808,17.7618
eps-8;G5ED33,22.0936,20.9693,21.8315,21.582,21.3231,20.8525,18.3048,21.9144
eps-8;G5ED33,20.6689,19.8074,19.8263,21.4035,21.2258,21.3047,21.0456,20.6389
eps-8;G5ED33,21.3207,20.457,21.1569,20.8725,20.7482,20.7905,20.7217,19.259
eps-8;G5ED33,24.5316,23.0237,23.3382,24.1397,20.492,19.8716,20.3491,18.6497
eps-8;G5ED33,25.2037,21.9564,23.4921,21.3081,20.7914,18.9471,21.5243,21.0692
eps-8;G5ED33,20.5845,20.0789,20.1227,21.7398,20.4227,18.3571,19.618,21.6177
;A0A061ACQ8,21.4137,20.3753,20.2783,21.1525,25.1233,24.8938,25.9115,24.5449
;A0A061ACQ8,20.2449,20.6627,20.3218,21.4516,19.9121,20.2161,19.0178,19.4925
;A0A061ACQ8,26.0796,26.6214,27.3457,25.2603,25.1325,25.2518,24.1717,25.8192
;A0A061ACQ8,26.0796,24.4882,24.0322,24.5542,25.1325,25.2518,24.1717,22.853
T14G10.5;A0A061ACR1,24.6031,23.893,27.408,25.7024,24.3332,24.2495,23.1299,24.264
pezo-1;A0A061AL01,21.6271,21.5454,19.618,21.1324,20.5116,21.8091,20.3211,19.6159
pezo-1;A0A061AL01,20.3374,20.0229,21.7904,21.6173,21.8251,21.7933,20.1921,20.2498
;B3GWD8,21.9518,20.5953,21.7451,21.6637,21.2651,19.3165,19.4311,20.1715
;B3GWD8,21.5007,20.8678,21.3048,20.5311,19.4375,21.3968,19.2826,19.6967
;B3GWD8,20.1236,20.5493,21.1031,20.9334,21.2096,20.3949,19.5296,21.8822
ard-1;A0A061AD09;Q19102,21.3746,20.6783,21.0299,20.5448,19.6149,20.0751,19.3603,19.5791
lim-9;Q3S1I9,22.0414,20.9049,19.5599,20.4587,17.6619,21.1208,20.0137,19.8695
lim-9;Q3S1I9,22.4755,21.0297,22.664,23.1742,21.5255,19.9551,20.3572,20.8448
pgp-2;G5EDF9,21.7113,20.9051,21.5384,21.0025,16.5769,19.2307,21.0463,19.3424
pgp-2;G5EDF9,20.9095,20.6514,21.4471,20.1895,23.341,21.9295,23.7218,24.5733
pgp-2;G5EDF9,20.6047,20.1422,20.203,20.9822,19.909,20.7687,21.3029,18.8524
