geneName;Leading.proteins,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04
eps-8;G5ED33,21.7283,19.1263,16.9484,19.5784,26.4047,26.7502,25.6981,25.15
eps-8;G5ED33,21.0619,19.4139,18.8798,20.6509,25.3984,26.2714,22.5561,25.9233
eps-8;G5ED33,19.8681,19.7115,19.4418,20.2652,23.8377,23.445,23.0266,24.8074
eps-8;G5ED33,17.3168,17.2941,18.3084,18.8222,18.7979,17.9392,20.3093,20.6005
eps-8;G5ED33,14.24,16.2222,17.0743,15.9533,23.6389,24.2897,24.7304,24.1662
eps-8;G5ED33,18.8236,17.8722,17.8891,18.4586,18.0559,18.292,17.6013,18.6678
eps-8;G5ED33,19.8229,19.5347,18.5868,16.4206,23.4654,24.3865,23.4633,23.7047
;A0A061ACQ8,19.1515,20.881,18.7091,17.8859,16.5056,18.38,17.1296,18.1723
;A0A061ACQ8,23.1079,22.2062,23.2476,22.728,19.7627,17.9313,17.2044,15.3776
;A0A061ACQ8,25.3163,25.7199,25.3947,26.0253,24.3708,25.2928,24.7066,24.4424
;A0A061ACQ8,25.3163,26.0487,25.3947,26.0253,24.3708,25.2928,24.7066,24.4424
T14G10.5;A0A061ACR1,24.594,23.8529,24.1401,23.1285,24.1096,23.9908,22.2437,24.156
pezo-1;A0A061AL01,17.9959,17.1447,20.6863,19.1526,20.6948,16.971,18.084,21.1241
pezo-1;A0A061AL01,18.4219,19.8675,17.9276,17.6966,20.0754,18.2202,17.6589,16.784
;B3GWD8,19.3549,20.1873,15.7297,19.4834,16.4716,20.1434,18.0472,17.2104
;B3GWD8,18.6804,19.5573,17.7639,17.7995,17.632,19.3657,18.0831,17.2284
;B3GWD8,17.9553,19.3841,18.7385,18.1227,18.4499,19.4154,20.0343,20.7251
ard-1;A0A061AD09;Q19102,19.9716,20.2658,20.3397,16.2634,17.906,21.1345,16.4319,16.1673
lim-9;Q3S1I9,21.5334,18.8672,17.4174,20.5942,19.1311,19.4345,14.2751,18.4942
