geneName;Leading.proteins,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d1_01,log2 eat2_d1_02,log2 eat2_d1_03,log2 eat2_d1_04
eps-8;G5ED33,21.5417,20.6052,21.8186,21.6586,23.5334,23.8659,22.8091,21.4201
eps-8;G5ED33,22.0936,20.9693,21.8315,21.582,24.5767,24.9587,24.2381,24.8764
eps-8;G5ED33,20.6689,19.8074,19.8263,21.4035,20.7121,21.6121,21.5258,20.8901
eps-8;G5ED33,21.3207,20.457,21.1569,20.8725,22.5255,23.5415,23.281,23.7146
eps-8;G5ED33,24.5316,23.0237,23.3382,24.1397,21.7742,22.8023,23.3951,21.6803
eps-8;G5ED33,25.2037,21.9564,23.4921,21.3081,20.3533,19.2331,21.6183,21.2415
eps-8;G5ED33,20.5845,20.0789,20.1227,21.7398,20.5678,20.222,21.3859,21.0173
;A0A061ACQ8,21.4137,20.3753,20.2783,21.1525,23.8289,24.4935,24.4446,23.923
;A0A061ACQ8,20.2449,20.6627,20.3218,21.4516,20.6905,20.6101,21.286,20.8378
;A0A061ACQ8,26.0796,26.6214,27.3457,25.2603,24.3735,26.4799,26.1909,25.0773
;A0A061ACQ8,26.0796,24.4882,24.0322,24.5542,25.8144,26.1828,26.1909,25.0773
T14G10.5;A0A061ACR1,24.6031,23.893,27.408,25.7024,24.4604,23.8085,23.8101,22.391
pezo-1;A0A061AL01,21.6271,21.5454,19.618,21.1324,20.9122,20.5604,20.0432,21.2337
pezo-1;A0A061AL01,20.3374,20.0229,21.7904,21.6173,20.052,21.7668,21.7559,22.3719
;B3GWD8,21.9518,20.5953,21.7451,21.6637,20.4407,21.4264,21.4755,19.5985
;B3GWD8,21.5007,20.8678,21.3048,20.5311,20.2055,21.2947,21.4317,18.8279
;B3GWD8,20.1236,20.5493,21.1031,20.9334,23.8394,23.8007,23.6418,23.2697
ard-1;A0A061AD09;Q19102,21.3746,20.6783,21.0299,20.5448,20.7379,21.5393,21.4388,20.9034
lim-9;Q3S1I9,22.0414,20.9049,19.5599,20.4587,21.0449,20.8853,21.1509,20.5674
lim-9;Q3S1I9,22.4755,21.0297,22.664,23.1742,20.9667,20.5865,20.3952,19.8745
pgp-2;G5EDF9,21.7113,20.9051,21.5384,21.0025,21.4791,23.2069,23.4336,22.9113
pgp-2;G5EDF9,20.9095,20.6514,21.4471,20.1895,20.0777,22.5115,23.8453,23.1834
pgp-2;G5EDF9,20.6047,20.1422,20.203,20.9822,22.0813,23.3163,22.4226,22.3875
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,21.6466,21.084,20.5156,19.8864,20.9403,21.7553,21.5142,19.7951
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,20.922,19.9403,21.0624,21.5466,21.7373,23.0522,23.4179,21.6485
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,25.4485,22.6639,24.3064,25.0223,23.6735,24.7184,25.6456,24.6859
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,24.2264,23.5739,24.9054,23.2206,20.1117,21.2592,21.6426,21.1536
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,25.0452,23.174,22.6811,24.166,23.0888,23.3046,23.0679,23.8624
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,26.767,25.9117,25.99,26.6959,22.9346,24.8838,25.3789,23.9325
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.2813,24.0705,24.6979,22.9127,25.79,22.4392,23.0577,23.7932
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,23.3782,23.6285,24.0569,23.3793,20.2928,19.9698,20.1963,21.073
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,22.6481,25.086,25.3506,24.9068,21.0963,20.912,20.8785,20.2299
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,25.216,23.437,23.4736,22.1196,24.1107,26.6339,26.9381,26.1947
;A0A0K3AUF2,24.6902,23.4674,22.0641,23.1463,24.1314,24.3147,22.6413,26.1291
lev-11;A0A0K3ARB5;Q27249,23.1416,22.6612,23.7309,23.5633,20.0765,21.5337,21.419,20.832
lev-11;A0A0K3ARB5;Q27249,23.1416,24.762,25.0833,24.8576,20.7941,19.6603,20.6867,20.8551
lev-11;A0A0K3ARB5;Q27249,23.2863,21.656,20.6174,22.6982,19.3907,20.4478,21.35,20.0251
egl-8;A0A0K3AS90,23.6604,22.5202,22.852,22.2183,20.8704,20.3729,21.6243,20.9135
ubxn-3;A0A0K3AWX1,19.8885,21.5349,21.2998,21.2814,20.9564,21.8743,21.1983,20.9949
ubxn-3;A0A0K3AWX1,21.5456,21.1286,21.0404,21.5365,20.1172,19.378,20.8477,20.3891
;A0A0K3AVS5,21.6481,21.4494,20.6691,21.1544,19.6512,20.623,20.637,21.3632
fln-2;A0A0K3AW96,22.5114,22.1148,20.7902,22.8784,20.224,21.7503,20.1577,18.8285
fln-2;A0A0K3AW96,20.7289,20.2022,21.8042,21.5686,20.8483,21.2299,21.6972,20.5487
fln-2;A0A0K3AW96,26.7722,25.6859,27.8765,27.4224,25.6721,25.3345,25.2425,24.467
fln-2;A0A0K3AW96,26.696,23.4355,22.1419,22.4113,23.6612,24.9205,23.6158,23.5435
oac-14;A0A0K3AWB0,25.8509,22.0571,22.9232,25.1645,21.4794,24.8791,22.9747,22.8663
oac-14;A0A0K3AWB0,24.4604,24.1179,24.1296,24.6268,20.3309,21.4537,20.4319,21.0258
;A0A0K3AWM6,21.2875,19.9649,20.0605,20.9046,20.12,21.7507,20.0534,20.4033
lsy-13;A0A0K3AXE0,20.4498,21.3899,20.9074,19.486,22.4303,22.7649,22.611,22.0671
;A0A0K3AXT9,25.7905,26.8828,27.7092,25.4412,19.9877,21.6152,21.8766,20.4859
;A0A0K3AXT9,21.9727,20.2349,20.6954,21.0619,20.2089,21.3739,21.1602,21.372
;A0A0K3AXT9,24.8458,27.2829,26.6816,26.9848,20.4863,20.7412,20.8545,19.7058
;A0A0K3AXT9,24.4766,26.1682,26.4029,26.1487,22.5374,23.6676,22.9655,24.5416
;A0A0K3AY44;O44557,25.3899,26.5551,26.9841,26.9997,20.445,21.4865,21.4319,20.6497
;A0A0K3AY44;O44557,22.0035,20.5391,20.5605,20.4148,20.8052,21.4248,20.9981,20.3659
