geneName;Leading.proteins,log2 eat2_d10_01,log2 eat2_d10_02,log2 eat2_d10_03,log2 eat2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
;A0A0K3AXT9,25.0797,24.7756,24.7697,24.4968,25.6837,27.4236,26.7681,26.3518
;A0A0K3AXT9,26.0959,24.4763,24.2506,21.3527,22.9459,23.2731,24.2958,22.699
;A0A0K3AXT9,26.3155,25.2737,26.0163,27.2178,26.4625,27.1201,26.9259,23.9472
;A0A0K3AY44;O44557,24.2352,23.7219,23.3627,24.0361,20.4477,21.1136,21.5285,22.3123
;A0A0K3AY44;O44557,21.8303,20.0851,21.8749,20.5794,18.7914,18.0536,18.9134,20.0179
oig-6;A0A0K3AY85;Q9BPN5,25.6122,25.825,26.0679,26.1032,18.0733,19.3085,20.6588,17.6614
oig-6;A0A0K3AY85;Q9BPN5,23.7861,22.021,23.9979,24.2543,19.8893,18.5783,19.0812,19.4721
;A0A0K3AYE8,26.121,25.6112,25.8081,21.1966,20.1948,17.4668,19.5318,17.8033
;A0A0M7RFG7,21.7591,21.1896,21.4763,20.8821,23.7544,25.0076,24.5941,24.4377
;A0A0S4XRR1,24.166,23.9745,23.9467,20.7393,24.8747,23.4387,24.2034,23.0068
;A0A0T7CIX3,20.4987,20.0837,21.739,21.0109,19.51,19.1802,20.3095,19.3
;A0A0T7CIX3,24.1973,23.9414,23.847,25.0905,19.0947,19.2576,19.5517,19.6653
;A0A0T7CIX3,20.1071,21.4045,20.7955,21.4149,18.5236,19.0979,18.6697,19.6895
rpl-11.1;A0A131MBQ6;Q94300,23.0821,23.0649,23.9164,24.2107,18.383,19.7354,20.2466,18.8817
mdt-18;A0A131MCJ5,19.6342,20.8798,20.8945,20.8499,20.0335,20.9121,18.073,16.3575
rnf-5;A0A131MD51,22.2376,21.4953,21.898,21.6791,24.1954,24.241,24.7764,24.8024
fipp-1;O16293,21.883,19.9637,21.2698,21.1131,19.1847,19.6218,19.2725,21.1687
;O02147,23.2088,22.1552,23.2034,24.8589,18.1144,20.3707,19.4255,20.6059
spat-2;F3Y5Q3,20.5106,20.4482,21.1887,21.2719,19.6783,20.0169,21.5682,16.9123
;Q9N350,24.572,23.526,25.1125,20.0426,22.7144,23.3217,24.9161,23.4527
;Q9N350,24.3225,24.0131,23.8334,22.6783,23.2303,23.3644,23.6562,23.8135
;A0A1N7SYR3,21.9554,20.7005,21.2447,21.1244,23.8067,23.9231,23.9464,22.5394
;A1IMB7,22.3304,21.6851,23.3765,20.1465,23.4745,23.6091,23.6917,23.2513
;A3QMB7,21.8719,19.609,20.6555,20.5194,22.3757,23.0182,23.0929,23.6651
;J7SF86,19.806,19.4739,20.628,19.5981,19.2189,19.3868,20.6807,17.793
;U4PRJ1;Q95ZL3,21.5834,20.6769,19.9835,20.86,20.6035,19.2351,21.7549,19.1234
dhs-3;A5JYX4,21.6294,22.8169,21.5663,24.8026,18.3523,21.2156,19.5447,17.3114
dhs-3;A5JYX4,25.3725,25.0324,24.7491,25.1401,24.5257,24.5425,25.5771,23.5064
dhs-3;A5JYX4,20.8163,21.0768,21.1777,21.5562,19.4325,18.2136,17.8687,20.5942
dhs-3;A5JYX4,19.8254,20.2988,21.3845,20.4238,21.005,20.0773,22.036,21.2865
dhs-3;A5JYX4,20.5262,21.2221,21.5318,19.8052,17.617,18.5062,21.6379,20.0051
;A5PEY0,25.1976,23.7598,25.1641,22.4747,26.2413,27.5532,26.1096,26.2722
;I2HA81,25.8246,25.8714,27.0083,25.9346,25.2276,25.7521,25.6308,26.0658
;A5Z2W7,24.6619,24.5041,23.8225,20.9875,19.6461,19.5996,18.897,18.4448
;A5Z2W7,24.5632,25.1548,24.4441,20.8372,19.6908,17.3903,19.388,18.9776
;A6PVA5,22.4739,20.8005,21.6686,24.5479,18.1628,19.9157,18.4803,16.7249
;Q20621,26.0135,25.5235,25.7943,21.1307,18.0417,19.0986,21.2424,20.0471
tag-296;A7DT41,20.9843,20.4114,19.2772,19.7172,19.7301,18.9493,17.5281,21.1365
