geneName,log2 eat2_d15_01,log2 eat2_d15_02,log2 eat2_d15_03,log2 eat2_d15_04,log2 eat2_d5_01,log2 eat2_d5_02,log2 eat2_d5_03,log2 eat2_d5_04
"C47D12,2",14.8415,15.3528,13.8577,15.4879,14.2213,12.9808,12.7993,12.9562
nep-1,16.4127,17.3058,16.6608,17.3826,14.7264,14.5255,14.3032,14.7451
"C47E12,7",14.7977,15.5522,13.7695,15.3957,14.8517,14.8714,14.6186,15.0231
dhp-2,17.4704,17.95,17.2084,17.9101,15.1241,15.2729,15.312,15.2446
srs-2,19.9729,20.4247,19.7823,20.3665,18.4736,18.3085,18.2265,18.2563
pyp-1,20.6432,21.2505,20.9016,21.4513,19.4583,19.4956,19.3242,19.4393
unc-112,17.1608,17.4466,17.2945,17.4696,16.4705,16.5589,16.3587,16.4657
daf-21,20.4807,21.0448,20.5244,21.067,19.6128,19.4978,19.5295,19.4835
"C47E8,4",14.9706,16.1836,15.8295,16.2162,0,11.3743,10.8004,12.2536
pitr-1,14.9123,15.0503,14.8276,15.2494,15.0446,14.7966,14.4737,14.9207
"C49C8,5",17.956,18.3357,17.7537,18.1363,13.8197,14.0636,14.2204,14.3037
"C49F8,3",14.751,15.4651,14.4793,14.3907,14.7694,14.594,14.6846,14.3775
"C50F4,1",18.0557,18.3212,17.0531,19.6591,10.793,15.4948,15.5358,15.588
"C50F4,6",14.8071,15.5194,14.9063,15.1532,13.7631,12.9875,14.0423,13.3595
klo-1,17.2519,18.0629,17.4471,18.0412,15.441,15.3223,15.1582,16.0492
"C52E12,1",15.0182,15.198,14.4007,15.5119,14.6975,14.9913,14.8525,14.8617
snr-4,19.1685,19.64,19.3725,19.6902,16.0226,16.2157,15.5182,15.7706
rpt-1,18.6605,18.5277,18.5195,18.5986,17.4767,17.2518,17.1091,17.2348
"C52E4,5",15.1155,16.3901,16.3758,16.0503,14.9465,14.9412,14.7543,14.7685
col-119,20.6758,21.3363,20.4223,21.6996,15.4557,14.1613,14.7483,14.7331
bre-1,16.6197,17.0708,16.8429,17.5791,16.5419,16.2273,16.1719,16.0743
asg-2,20.6941,21.2828,20.9939,21.371,18.8971,18.971,19.0544,19.0206
"C53B7,2",13.5489,15.1611,14.9905,14.8391,15.7993,15.9291,15.6908,15.7806
rig-3,15.4523,17.2806,16.5112,16.816,13.3372,13.5551,13.8248,13.4877
"C53D6,7",14.7395,14.8469,14.5995,14.9101,14.1486,14.5108,12.9913,12.2731
ben-1,19.3133,19.1076,19.3909,18.6768,18.3146,18.0043,18.2248,18.1946
alh-10,17.8103,17.7547,16.572,16.7388,14.342,14.4301,14.1934,14.3691
lam-2,18.5178,19.1153,18.6352,18.9738,16.579,16.5814,16.4622,16.5873
rskn-2,16.2323,16.2377,16.5647,17.0595,15.3994,15.2555,15.2555,15.0187
dod-18,16.4837,17.8927,16.5731,17.5246,15.8014,15.2072,15.2983,15.3677
cyc-1,18.8764,19.3416,18.7368,18.2378,18.0081,18.2515,18.1194,18.2367
"C54G4,9",14.495,13.8307,14.8123,15.2084,13.6572,12.7571,13.3974,12.8154
sft-4,18.0513,18.9905,18.8631,19.5753,15.7721,15.8172,15.9999,15.8804
"C56A3,5",14.4615,15.5333,14.5131,15.3456,15.2673,15.7003,15.262,15.3476
icd-1,19.7207,20.3439,19.6369,20.2042,19.8032,20.0067,19.6524,19.7783
"vps-32,1",17.796,18.6626,18.1613,18.731,16.1277,16.0642,15.9778,16.1108
aipr-1,13.927,15.3418,13.5173,15.2047,12.0015,11.9559,11.8403,11.8306
cgp-1,14.4,15.1259,14.576,14.1186,15.6666,15.8122,15.6657,15.5965
cebp-1,14.8411,15.0122,14.1902,15.1748,15.0499,15.1611,14.9489,14.7198
"CELE_D1005,2",14.2954,15.4035,14.6654,14.7894,13.8354,14.2413,13.8937,13.3473
snap-1,18.6493,19.2273,18.5676,19.2861,16.4426,16.2537,16.2848,16.2713
"CELE_D1022,4",14.5305,14.6187,15.0022,15.059,13.4169,13.8926,13.5999,14.2035
gst-42,19.2731,19.3297,19.0466,19.5312,16.6592,16.4994,16.733,16.7369
"CELE_D1054,10",21.3475,21.3398,21.0802,21.2972,20.5302,20.4024,20.143,20.147
"CELE_D1054,8",14.5246,15.4231,14.6953,14.6601,14.6445,14.7765,15.1728,15.2237
ule-3,22.6951,23.9072,23.0604,23.5615,19.6731,19.979,19.8623,19.8209
"CELE_D1054,3",16.3018,16.969,16.0999,17.1852,14.7,15.1795,14.9152,14.9723
wdfy-2,14.9832,15.2318,14.1388,15.2838,14.8472,15.0866,14.6419,14.742
eat-3,17.5973,16.8023,16.7159,16.9375,15.2071,15.3567,15.1744,15.2018
"CELE_D2013,6",14.8129,15.5038,14.7731,14.2088,12.1051,12.8849,12.3473,12.5309
"eif-3,F",17.0728,17.4937,17.4826,18.0818,16.1971,16.1167,16.4398,16.409
gstk-2,14.6784,15.5741,15.0325,15.3488,14.3745,14.038,13.6733,14.1219
"CELE_D2045,2",16.2055,16.4265,16.0984,16.08,13.9976,13.9704,13.8774,13.9661
"CELE_D2045,8",14.1759,15.4854,14.6613,14.2457,14.346,13.5734,13.2633,13.554
pyr-1,16.9859,17.001,16.9851,17.0913,16.1894,16.391,16.2712,16.3177
eif-2bepsilon,14.4103,15.5252,14.7128,14.1188,14.8042,14.9054,14.9339,14.6682
aagr-1,18.5801,19.0667,18.4127,18.9971,14.8594,15.3487,14.2627,14.247
nap-1,19.8923,20.5762,20.1448,20.5827,19.6724,19.9225,19.3985,19.6073
dhc-1,16.9913,17.2743,16.7465,17.7491,15.783,15.8948,15.7449,15.8509
"CELE_E02C12,6",14.5793,15.1587,14.7559,14.0483,13.5416,13.6562,14.1349,13.6481
mrp-3,15.0258,15.1778,14.2088,14.939,13.3521,13.0541,12.9078,13.2995
"E04D5,1",18.4058,18.7426,18.5088,18.7683,16.8221,16.8001,16.7852,16.779
"CELE_E04F6,4",14.8922,15.3242,14.4993,15.0388,15.2314,15.4721,15.2502,15.3232
acdh-12,18.3167,18.5952,18.5304,19.2199,17.61,17.5145,17.4142,17.4911
maoc-1,17.3118,17.4492,17.3365,18.2407,16.1579,16.3636,16.2355,16.183
"CELE_E04F6,6",14.7951,14.4741,14.0793,15.2642,11.9661,12.0153,11.8305,11.8562
"CELE_E04F6,8",19.877,19.9393,19.7444,20.2384,18.509,18.2116,18.2122,18.178
"CELE_E04F6,9",19.511,19.7948,19.3779,19.6379,19.2025,19.3605,19.1266,19.1912
pho-1,14.4716,15.2034,14.3925,14.9705,12.5683,12.9815,12.1862,12.7953
dpf-4,17.8609,18.6471,18.2132,18.5275,16.9361,16.8249,16.8181,16.4186
dnpp-1,19.9727,20.2064,19.57,20.2276,17.0174,16.979,17.0802,17.1086
rabn-5,14.7178,14.9727,13.1443,15.0596,14.2852,14.0378,14.4565,14.0993
"CELE_F01F1,2",14.9713,14.777,15.1892,14.7141,15.0556,14.5927,14.6232,14.573
eat-17,14.5385,15.0482,14.5134,15.1086,12.6081,11.9982,12.2312,12.6367
ard-1,18.7547,19.7579,18.6811,20.6057,18.9181,18.7938,18.9803,18.9209
skih-2,14.9823,15.4455,14.8296,14.8935,13.2777,13.1577,13.1543,12.7726
"CELE_F02C12,1",14.5478,14.9534,14.9264,14.473,12.0302,11.9493,11.672,11.8496
aps-2,14.3154,15.5197,15.0467,15.0951,14.0063,13.7514,14.4869,13.8232
asb-2,19.1203,20.3903,19.8225,20.2426,19.5795,19.5963,19.3226,19.4376
ncam-1,16.7992,16.8277,16.547,17.1842,13.7689,13.7205,13.935,14.1439
gfat-1,14.9374,14.9142,14.9822,14.8724,15.2753,14.5725,14.549,14.4881
npp-5,17.1641,18.0574,17.1395,17.4757,15.6753,14.8012,14.9483,14.9704
"CELE_F07A11,4",14.7093,14.9064,14.9281,15.4498,13.6696,13.133,13.3771,13.0564
"CELE_F07A11,5",14.5872,14.4275,14.855,15.4589,15.0218,14.7243,14.8768,14.9632
"CELE_F07A5,2",16.4055,16.8546,16.7483,16.5283,13.0701,13.7206,14.1421,13.6438
"CELE_F07C3,2",14.4253,14.6012,15.0155,15.2883,14.4424,14.0724,14.1393,14.3482
