geneName;Leading.proteins,log2 daf2_d10_01,log2 daf2_d10_02,log2 daf2_d10_03,log2 daf2_d10_04,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04
eps-8;G5ED33,23.4587,24.0664,23.1137,25.0985,17.5327,19.8041,20.9319,19.6009
eps-8;G5ED33,25.0749,25.3106,24.0962,24.1866,17.1798,18.6986,21.2561,21.0882
eps-8;G5ED33,20.0707,21.7295,21.2479,20.9707,20.7311,21.7289,19.4175,17.9633
eps-8;G5ED33,20.4936,20.3288,19.9947,21.4875,25.4427,25.1152,25.5114,24.5829
eps-8;G5ED33,24.1916,24.2188,25.0236,23.9262,23.8439,24.3591,25.0551,24.8455
eps-8;G5ED33,23.3225,23.5801,24.0032,24.7963,18.8139,19.5756,21.0625,19.1871
eps-8;G5ED33,18.4543,16.9512,18.7781,19.1706,19.1268,19.4666,19.463,19.8508
;A0A061ACQ8,18.8745,19.1804,17.66,18.8705,25.1179,25.6788,25.3254,25.0607
;A0A061ACQ8,24.7423,22.5354,21.8131,23.5553,19.3402,20.135,17.2983,16.8941
;A0A061ACQ8,24.9853,24.6852,26.1816,25.3441,18.8628,20.9229,20.6477,21.4521
;A0A061ACQ8,24.9853,24.6852,26.1816,25.3441,19.9375,18.9843,21.5938,19.9823
T14G10.5;A0A061ACR1,24.3086,23.4591,25.2728,23.3645,19.7171,19.1901,19.1267,19.7952
pezo-1;A0A061AL01,20.9844,19.2787,19.0681,18.4461,16.1122,19.4221,20.4245,20.9586
pezo-1;A0A061AL01,20.9798,18.8131,21.2636,20.025,21.007,19.7355,20.3847,19.7913
;B3GWD8,20.8685,19.6437,20.537,19.1416,22.6992,22.7306,24.1893,21.0493
;B3GWD8,19.715,20.1627,19.7253,17.7271,20.5715,19.9464,17.1615,21.2368
;B3GWD8,20.1273,18.8333,20.6156,20.7385,20.3282,21.7727,19.1176,21.5312
ard-1;A0A061AD09;Q19102,21.1623,16.0536,21.1649,18.807,19.9764,18.4282,19.5034,18.9757
lim-9;Q3S1I9,19.9088,20.3734,19.7662,18.8902,19.0928,17.2822,19.4194,21.3455
lim-9;Q3S1I9,23.2732,23.2923,23.206,21.6354,19.6106,20.3,20.035,19.4295
pgp-2;G5EDF9,21.0697,18.4201,20.6069,17.6945,18.7199,20.445,17.3022,18.8472
pgp-2;G5EDF9,24.0194,23.5051,25.0464,23.7446,16.3937,20.4237,20.9377,18.8993
pgp-2;G5EDF9,19.8937,21.4847,18.8163,19.8148,18.7538,18.7701,18.7407,19.0366
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,19.4027,19.4408,20.1587,19.7694,21.4698,20.5738,19.1009,21.3845
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,20.1824,19.2693,18.8405,21.6328,20.2377,19.7373,18.5143,17.9382
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,25.424,24.6988,25.6331,23.7506,26.045,25.6702,27.109,26.0397
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,17.4171,19.0049,20.6998,19.9796,17.2868,18.7173,21.439,20.6722
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,19.9414,19.855,20.4838,20.5562,19.6958,21.2905,19.8868,17.9633
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,25.5681,25.0337,23.642,24.8307,26.1909,26.0301,26.2682,25.1585
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.3335,23.0578,24.5329,24.0537,20.8913,17.5493,19.4176,17.826
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.1955,20.4821,19.6382,21.0684,26.014,26.2594,25.0266,26.2841
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.8817,19.6654,19.6218,21.3297,18.993,19.9835,19.3398,18.5383
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,24.2532,22.7206,24.6827,28.7903,20.9316,22.1213,22.664,22.536
;A0A0K3AUF2,20.567,18.2231,20.1867,19.3315,23.1616,21.0025,23.9234,22.1368
