geneName,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 N2_d5_01,log2 N2_d5_02,log2 N2_d5_03,log2 N2_d5_04
ulp-2,15.0984,14.8328,13.81,13.8557,13.9227,14.4907,14.8008,14.4837
"CELE_T23F4,2",15.9524,16.4898,15.5611,16.1083,14.6301,13.4505,13.9936,14.9059
sago-1,14.3915,14.6744,13.799,13.6058,13.2114,12.9299,12.1103,13.2928
sago-2,13.0358,12.9485,12.6741,13.0336,16.7445,16.7038,16.0956,16.2426
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",12.7838,16.1689,14.468,1.44776,13.6279,13.9799,13.589,9.34186
daf-4,15.6361,15.9767,15.8681,16.2957,13.9809,14.3527,13.3982,15.0507
hpo-3,13.0529,13.1946,12.7602,12.9604,11.2987,11.1394,11.1731,11.6731
acs-22,14.1682,14.5332,15.989,15.5692,14.1217,13.6942,13.6335,14.0711
tag-10,16.2946,16.1949,14.3355,15.2078,15.0082,14.5885,14.3784,14.6979
imb-2,14.6148,14.4241,13.9407,14.3202,13.9174,13.882,13.8402,13.8063
brf-1,12.7888,13.4321,12.8594,12.8237,13.4709,13.1394,12.7689,13.7489
"CELE_W09B6,4",18.1146,18.5456,18.1833,19.4207,13.9775,12.4984,13.5548,13.8286
irg-7,19.0268,19.1906,18.9814,19.0776,18.4456,18.298,18.1992,18.5686
"CELE_F27B10,1",13.1074,13.1898,12.1236,12.7781,14.3326,3.91271,14.0929,11.5426
"CELE_T22F3,3",12.8923,13.4142,12.751,13.0582,11.3367,11.033,11.168,11.5541
die-1,16.3004,16.0633,16.51,16.9333,15.0588,15.0866,13.8978,15.6883
dhs-11,15.0893,15.8438,14.7803,15.2094,15.0343,15.2846,15.3123,15.0999
tbc-14,14.8553,16.014,15.4592,16.612,14.2654,13.9874,14.3445,14.9511
cyp-34a6,12.3641,13.2767,13.0265,12.8207,11.3622,11.0841,11.056,11.5117
fipp-1,16.0472,16.4329,16.3972,16.8514,15.5543,15.7114,15.2037,15.1199
unc-132,10.2837,13.3735,13.0603,12.2659,13.9565,14.3631,14.313,14.4141
cdh-4,13.025,13.3835,13.0428,13.0373,15.3575,16.0375,16.173,15.8722
ajm-1,13.1122,13.1061,12.9004,13.0015,11.255,11.1898,11.2619,11.715
"CELE_ZC412,3",19.7955,20.1051,19.1745,19.4218,18.137,18.0159,18.0333,18.2232
farl-11,13.1377,12.9324,13.0251,12.9084,11.2682,10.9403,11.2586,11.656
let-711,14.9965,15.2469,14.8239,14.323,14.6299,14.5406,14.5097,14.7324
"C40H1,7",13.1229,12.7546,14.8726,15.9999,12.1926,14.3166,13.9831,12.2316
spat-2,15.9484,16.3552,16.2828,16.632,15.2715,16.0483,15.169,14.849
aakg-1,12.8972,13.1733,14.5788,13.7361,12.2939,13.639,13.1443,13.0203
grl-23,13.0913,13.3827,12.7234,12.4017,11.2154,11.1904,11.1949,11.6971
spat-2,14.8033,16.0039,14.9417,15.5504,15.3208,14.5097,14.693,14.9303
"CELE_Y55F3BR,6",12.9897,13.0292,12.6868,13.0329,11.9964,12.6013,12.7059,12.2536
