geneName,log2 N2_d10_01,log2 N2_d10_02,log2 N2_d10_03,log2 N2_d10_04,log2 N2_d1_01,log2 N2_d1_02,log2 N2_d1_03,log2 N2_d1_04
"CELE_Y54G11A,3",20.4998,20.182,20.1491,20.3888,14.3681,13.8443,13.9833,14.3223
"CELE_Y54G11A,1",17.7034,17.4495,18.2789,19.0529,15.6085,14.1504,14.4418,15.334
"CELE_Y54G11A,7",15.3619,15.657,15.9916,15.8069,14.9984,14.6672,14.7194,15.037
"CELE_Y54G11A,4",16.0895,15.8625,16.6354,16.6128,12.6054,12.2369,11.7083,12.7916
"CELE_Y54G11A,2",16.3347,15.4275,16.0186,16.2807,15.7964,16.3975,16.178,15.9816
pad-1,13.8222,14.3609,14.3309,15.1081,13.8385,12.506,12.7655,12.874
"Y18D10A,9",15.8648,16.0365,14.9618,17.3829,14.4501,14.4921,14.5894,14.9224
mxt-1,16.0291,15.168,15.4129,17.1207,15.185,14.5073,14.802,14.729
"Y18D10A,3",14.3313,14.0543,14.4277,14.3567,13.4805,13.1471,13.2325,13.3728
pfn-1,18.9854,20.8282,18.8491,19.1257,18.809,19.075,18.9707,18.7857
car-1,19.6872,19.5693,19.189,19.657,19.1262,17.8483,18.1255,18.8213
"CELE_Y18D10A,16",13.6972,14.2538,14.4599,14.4873,14.5207,14.5717,15.4836,14.8713
"CELE_Y18D10A,11",17.4695,17.43,17.1661,18.2836,15.3403,15.3275,15.4646,15.4432
attf-6,14.2841,14.1509,14.4382,14.8836,11.3957,12.4834,11.301,12.3164
sptf-3,13.5274,14.4327,13.9256,15.0083,13.8582,14.2536,14.2286,14.0355
"CELE_Y69E1A,5",19.7139,21.3682,20.4336,20.9413,17.3668,17.7181,17.5847,17.428
"CELE_Y69E1A,2",14.2855,13.8472,14.4091,14.8077,15.3459,15.2446,15.391,15.1486
snx-3,18.0314,17.9766,18.3123,18.2045,16.2346,16.3781,16.3222,16.1307
prmt-7,13.672,13.8493,14.3478,13.1058,13.4871,14.6047,13.936,14.2921
"CELE_Y75B8A,7",15.1568,15.2863,15.089,16.1738,14.4461,14.3287,14.6468,14.4939
"CELE_Y75B8A,19",14.2627,14.3101,14.3859,15.1159,9.94115,13.365,11.2666,6.03065
"CELE_Y75B8A,14",16.0188,15.9506,16.1093,15.6906,13.7039,14.5328,14.7282,13.8119
"pph-4,1",18.0409,16.3791,17.9195,19.3217,14.9232,14.9978,15.1078,14.5571
vha-13,20.3147,21.1829,20.6997,21.0561,18.5734,18.9468,18.9767,19.0309
"CELE_Y73F4A,3",14.2093,14.2413,14.4468,14.3378,10.5102,10.3864,11.1237,11.5148
"Y73F4A,1",18.404,18.9208,17.4099,18.7467,15.1929,15.5959,15.2277,15.2173
"Y73F4A,2",14.5146,14.227,14.4775,15.1002,15.1202,13.882,14.3011,14.6721
acs-5,15.5982,15.6769,14.9906,16.3141,15.942,15.8484,15.8732,15.974
eif-2bbeta,16.4687,16.2255,15.9555,17.4262,14.4094,13.9693,14.37,14.4781
ced-1,16.0163,16.216,16.288,17.9423,13.9736,13.1179,12.8464,13.3684
dnj-27,13.8328,14.0568,14.4117,15.0632,12.6263,11.7864,11.8524,12.7859
"CELE_Y47H9C,1",14.3033,14.4087,14.3973,15.0696,9.98019,9.92706,9.9186,9.84046
"Y106G6E,4",13.9999,14.1975,14.2707,14.8129,13.3324,13.8284,13.799,13.2892
ubc-16,14.341,13.3852,13.8105,14.229,12.8541,12.7431,12.712,12.8095
