geneName,log2 daf2_d5_01,log2 daf2_d5_02,log2 daf2_d5_03,log2 daf2_d5_04,log2 daf2_d1_01,log2 daf2_d1_02,log2 daf2_d1_03,log2 daf2_d1_04
"CELE_Y62E10A,13",12.8718,13.6241,13.1723,14.121,15.033,13.3158,13.2742,13.3989
cars-1,16.4016,16.744,16.2184,16.5853,15.7675,15.7773,15.7113,15.6432
eps-8,12.9619,13.2749,12.9819,12.3774,12.5189,13.0355,11.8518,13.1362
"CELE_T14G10,5;CELE_T14G10,5;T14G10,5;CELE_T14G10,5",17.4503,17.6303,17.2228,17.2181,15.9997,16.0292,15.9521,15.9332
pezo-1,15.0058,14.2792,16.2589,16.4128,14.0249,14.2203,14.3511,14.0234
twk-9,18.3046,18.1349,16.8766,16.5732,18.3173,18.0618,18.3394,17.8726
epi-1,17.7883,18.0182,17.4658,17.6494,16.7993,16.8157,16.8808,16.5653
kdin-1,13.0264,13.2506,12.4163,12.606,13.0104,12.8672,12.953,13.002
tag-273,17.8664,18.2805,17.7839,17.9963,16.7957,16.6892,16.7458,16.7035
"CELE_F13H10,3;CELE_F13H10,3;F13H10,3;CELE_F13H10,3",12.3398,13.2656,12.9281,12.8877,12.9012,12.7524,12.5408,12.1888
pps-1,13.0455,12.9821,12.6379,12.2496,14.6849,13.7357,13.9037,13.413
cka-1,12.4489,13.0109,13.5044,12.5409,14.1753,14.2682,13.9052,14.4305
"CELE_R11A8,7;CELE_R11A8,7;R11A8,7",14.9123,15.6116,14.2647,14.2652,12.7977,12.8163,12.7774,12.8972
spp-18,18.1612,19.2322,18.6168,17.7392,13.6529,15.2626,14.344,14.6621
lin-66,13.9607,13.9884,14.4919,13.7276,13.9599,13.5927,13.7867,13.3555
"CELE_F09E10,7",15.7667,14.3877,14.8697,13.2229,13.4822,13.2835,13.7968,12.5132
"CELE_F10C1,9",12.8939,13.335,13.0136,12.5557,13.4519,13.0365,14.0339,12.836
itx-1,15.4011,15.9398,15.4638,14.944,14.3602,13.8227,14.023,13.8797
"CELE_Y41E3,7",13.6666,14.2938,14.4558,14.5345,14.437,14.1755,14.1049,14.0022
"CELE_Y105C5B,15",15.3516,15.3146,15.5079,14.7261,14.1822,13.5679,13.9529,13.334
lim-9,15.5677,15.4778,15.6519,15.6344,15.1094,14.9499,15.542,15.0749
"CELE_Y105E8A,25",15.2256,15.7982,14.7094,14.1762,14.3318,13.9801,13.7444,13.0567
pgp-2,15.1878,15.1079,14.3195,15.1138,15.0493,14.8721,14.8834,14.7244
lpd-3,15.7376,15.4629,15.8295,17.9221,16.2304,16.0431,14.4429,15.1278
tln-1,14.0896,14.3584,15.1304,15.6357,16.0092,13.4848,14.7696,13.4221
max-2,14.939,15.944,15.3661,15.3956,13.5153,12.2491,13.2763,13.8107
egl-27,13.0035,12.9126,12.9519,12.2116,13.3076,13.3039,13.5169,13.701
cdc-14,13.1162,13.1696,12.9349,12.4668,11.0256,10.6159,10.6167,10.841
daf-16,15.5029,16.118,14.7924,15.0596,14.0404,13.7714,13.8167,13.92
"CELE_T16H12,3;T16H12,3",12.8176,13.243,13.0141,12.2105,12.8504,12.4177,13.3509,11.8584
lev-11,18.1945,18.2566,17.6161,18.0451,15.5017,15.3856,15.1109,14.5788
gld-2,13.108,13.3404,12.8983,13.0307,11.771,12.8416,11.72,12.4886
ncl-1,13.1233,13.2828,12.9295,12.354,15.1437,14.4379,14.5374,14.4959
"CELE_D1069,3",12.8579,14.5717,13.6722,13.2409,11.9118,12.1038,12.8008,12.5522
lin-23,12.9811,13.007,12.8844,12.5119,13.1779,13.241,12.8194,13.2696
"CELE_Y50D4B,1",12.6791,13.1274,12.9582,13.0105,13.1414,13.1551,12.9483,13.5493
"CELE_Y39A1A,21",12.6679,13.1328,12.9236,12.858,10.8572,9.59846,10.5046,10.6183
dre-1,15.9558,16.6216,16.771,16.8865,17.5411,16.747,16.9177,17.0942
gck-1,14.3471,15.7522,14.8482,15.0752,14.3503,14.2965,14.0295,14.1474
gly-7,12.8568,12.9011,13.0341,12.6887,15.2911,13.9644,14.1441,13.7363
"CELE_F40A3,3;F40A3,3",19.229,19.3653,19.1852,19.3404,18.5411,18.4763,18.5505,18.2987
"CELE_Y50D4B,4",14.882,14.4573,15.2848,15.1476,14.9002,14.9816,14.9892,14.9089
cdf-1,13.0061,13.2643,13.0052,12.683,10.9376,10.6472,10.7921,10.746
unc-34,14.2026,15.0414,14.4932,15.0047,16.7764,16.3451,13.3088,15.1487
tbh-1,17.6662,17.8817,17.5238,17.9933,15.3663,15.3492,15.5883,15.0892
lev-11,23.0006,22.2853,22.7563,22.5511,21.7474,22.1143,22.0065,21.4276
imp-3,12.7313,12.1635,11.3552,15.0767,13.3818,13.1706,12.9138,13.224
prdx-2,22.1747,22.6427,22.6826,22.4196,21.9418,21.7497,21.7763,21.7001
jhdm-1,15.7781,15.9676,15.4427,15.4694,14.5113,14.5323,14.7196,14.1443
mrck-1,12.7559,13.37,12.706,12.8845,13.0162,11.8051,12.8231,12.0398
nhr-86,12.6024,13.4257,12.7296,13.0602,11.6752,10.9989,11.4704,11.1694
aat-3,12.2343,13.2752,13.096,11.5196,13.6455,13.2998,12.6054,12.8474
"CELE_M02H5,8",20.5728,20.4468,20.1832,20.0518,18.0799,17.9544,17.8609,17.9541
"CELE_T08B1,1",13.9687,15.669,13.6532,15.0808,14.2979,14.5233,14.602,14.4496
lipl-5,12.9409,13.3299,13.0737,12.895,13.2047,13.1923,13.5453,12.7198
fln-2,17.1875,17.0114,17.0332,17.0301,16.3382,16.225,16.1405,15.8562
"C14C6,5",17.6022,17.9422,16.9657,17.3221,14.6652,14.5774,14.5304,14.5023
"CELE_T08B1,1",12.9457,13.4114,12.5344,12.7363,10.9633,10.7178,10.801,10.7331
zig-11,14.6646,14.9156,14.6061,14.6926,13.1376,12.9935,13.2651,12.7266
ilys-5,15.4203,16.3956,15.6699,15.9709,14.6293,13.7522,14.0625,13.9497
irg-3,17.9414,18.0534,17.6153,17.6493,12.9895,13.6276,13.4423,13.8067
tns-1,16.0681,16.9153,15.4012,16.2823,15.3917,15.3103,15.3597,15.1448
ubr-4,14.211,14.9714,13.4002,12.3817,12.9748,12.0796,11.9757,12.4436
ccar-1,15.9062,15.9134,15.2593,16.0242,15.1967,14.7468,14.4661,15.0081
ulp-2,15.0984,14.8328,13.81,13.8557,13.0999,13.0408,13.1241,12.4987
"CELE_T23F4,2",15.9524,16.4898,15.5611,16.1083,14.0388,12.8363,13.8535,13.3663
sago-1,14.3915,14.6744,13.799,13.6058,13.6706,13.845,13.8241,15.3813
sago-2,13.0358,12.9485,12.6741,13.0336,12.7837,12.9861,13.3497,13.2385
"CELE_K02C4,3;CELE_K02C4,3;CELE_K02C4,3;K02C4,3",12.7838,16.1689,14.468,1.44776,13.075,11.9628,11.6702,11.7729
daf-4,15.6361,15.9767,15.8681,16.2957,14.1946,13.8292,14.0122,13.5697
hpo-3,13.0529,13.1946,12.7602,12.9604,10.9269,10.6138,10.7563,10.5418
acs-22,14.1682,14.5332,15.989,15.5692,14.9708,15.4404,14.7526,14.8316
tag-10,16.2946,16.1949,14.3355,15.2078,15.7694,15.8648,15.5982,15.5687
imb-2,14.6148,14.4241,13.9407,14.3202,13.2929,13.1286,13.3316,13.5981
brf-1,12.7888,13.4321,12.8594,12.8237,12.7211,11.6758,12.478,12.8654
"CELE_W09B6,4",18.1146,18.5456,18.1833,19.4207,13.5935,13.3194,13.3481,12.9404
irg-7,19.0268,19.1906,18.9814,19.0776,18.0058,17.6724,17.7368,17.5448
"CELE_F27B10,1",13.1074,13.1898,12.1236,12.7781,12.2768,12.5617,12.0353,11.7352
"CELE_T22F3,3",12.8923,13.4142,12.751,13.0582,13.3505,12.5887,12.4551,11.8211
die-1,16.3004,16.0633,16.51,16.9333,14.5519,14.54,14.5911,15.048
dhs-11,15.0893,15.8438,14.7803,15.2094,15.8107,15.5416,15.5062,15.8157
tbc-14,14.8553,16.014,15.4592,16.612,14.7813,14.4442,14.3378,13.9264
cyp-34a6,12.3641,13.2767,13.0265,12.8207,15.1085,14.0355,14.4946,14.391
fipp-1,16.0472,16.4329,16.3972,16.8514,14.3778,14.7669,14.1293,14.376
unc-132,10.2837,13.3735,13.0603,12.2659,13.7506,13.6741,13.4341,13.9941
cdh-4,13.025,13.3835,13.0428,13.0373,14.9862,13.8023,14.4912,14.11
ajm-1,13.1122,13.1061,12.9004,13.0015,10.969,11.3314,10.6331,10.8396
"CELE_ZC412,3",19.7955,20.1051,19.1745,19.4218,17.4613,17.1581,17.2477,17.3517
farl-11,13.1377,12.9324,13.0251,12.9084,11.582,10.7392,10.7965,10.1852
let-711,14.9965,15.2469,14.8239,14.323,13.8113,13.8712,13.8529,14.8605
"C40H1,7",13.1229,12.7546,14.8726,15.9999,14.1071,14.3282,14.2221,14.2521
spat-2,15.9484,16.3552,16.2828,16.632,14.9535,14.736,14.9911,15.1045
aakg-1,12.8972,13.1733,14.5788,13.7361,14.6878,13.5791,13.241,13.2334
grl-23,13.0913,13.3827,12.7234,12.4017,14.9117,15.0563,15.2123,14.7075
spat-2,14.8033,16.0039,14.9417,15.5504,13.7267,13.3403,13.5444,13.8469
"CELE_Y55F3BR,6",12.9897,13.0292,12.6868,13.0329,13.717,12.9555,13.6063,13.3982
vab-10,20.0954,20.2813,19.4332,19.8193,18.3724,17.8631,17.8451,17.2892
"eif-3,l;eif-3,L",17.5801,17.3923,18.2137,18.0103,16.4586,16.0264,15.6961,15.7429
"npp-25;npp-25;npp-25;Y37D8A,17",15.8287,15.5854,17.4472,17.0293,16.394,15.6656,15.679,16.0636
cnt-1,12.688,13.1241,13.015,12.4,11.0077,9.82459,10.7234,10.8321
"C26G2,2",11.8541,13.0257,13.0141,12.9573,11.0941,10.412,10.7817,10.0716
"CELE_F43B10,1",14.524,15.5469,15.5152,14.7828,12.6899,12.8133,13.1171,12.7559
ubc-15,12.7512,13.0022,12.845,12.9454,14.2381,13.6658,13.5398,13.3294
"CELE_Y55F3BR,10",17.4587,18.1853,17.1625,18.2611,13.0579,14.0221,14.0326,13.3238
"CELE_Y38F2AR,12",14.8264,15.6474,14.3326,14.5878,13.9064,13.565,14.0213,13.8973
ttr-42,18.114,18.0754,18.7389,19.0724,16.8632,16.7681,16.7713,17.2911
"CELE_H29C22,1",18.7345,18.6543,19.4117,19.5639,16.3388,15.9727,16.5541,16.7209
"CELE_F07G6,10",13.0614,13.2118,12.962,13.0299,15.3754,17.584,13.229,15.8757
ttr-34,12.9425,12.8395,13.0623,12.961,14.9816,14.0183,15.2852,14.3963
"CELE_Y49E10,29",12.7177,12.988,12.4982,13.0275,11.0338,10.7375,10.656,10.8375
cnnm-1,12.7167,13.3943,12.2106,12.8055,12.9483,12.6948,12.6783,12.9225
col-138,13.0527,13.4347,13.0455,12.332,15.7824,15.0739,14.6229,14.6624
