geneName;Leading.proteins,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04
eps-8;G5ED33,24.7874,25.02,24.5148,23.6856,16.7072,19.1966,20.1808,17.7618
eps-8;G5ED33,23.5194,24.1715,23.8636,24.1473,21.3231,20.8525,18.3048,21.9144
eps-8;G5ED33,19.0158,20.0399,20.9728,21.2806,21.2258,21.3047,21.0456,20.6389
eps-8;G5ED33,17.7554,20.1916,19.9996,18.449,20.7482,20.7905,20.7217,19.259
eps-8;G5ED33,24.1164,23.7851,23.4222,23.0601,20.492,19.8716,20.3491,18.6497
eps-8;G5ED33,23.8429,23.1984,22.3761,22.8616,20.7914,18.9471,21.5243,21.0692
eps-8;G5ED33,23.8087,22.9247,23.8381,23.8007,20.4227,18.3571,19.618,21.6177
;A0A061ACQ8,17.8235,20.2668,18.7401,21.1825,25.1233,24.8938,25.9115,24.5449
;A0A061ACQ8,22.2595,23.3938,22.8448,23.2788,19.9121,20.2161,19.0178,19.4925
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,25.1325,25.2518,24.1717,25.8192
;A0A061ACQ8,25.6735,26.3082,25.9416,26.8577,25.1325,25.2518,24.1717,22.853
T14G10.5;A0A061ACR1,23.3745,23.1524,23.9663,23.5295,24.3332,24.2495,23.1299,24.264
pezo-1;A0A061AL01,19.7043,18.1049,21.682,20.0537,20.5116,21.8091,20.3211,19.6159
pezo-1;A0A061AL01,20.9039,20.0927,20.085,19.0373,21.8251,21.7933,20.1921,20.2498
;B3GWD8,18.5562,19.1444,17.9817,18.8163,21.2651,19.3165,19.4311,20.1715
;B3GWD8,18.7951,19.3143,21.3415,19.1342,19.4375,21.3968,19.2826,19.6967
;B3GWD8,19.963,17.7262,21.0365,20.5899,21.2096,20.3949,19.5296,21.8822
ard-1;A0A061AD09;Q19102,18.914,21.1819,19.9261,20.3977,19.6149,20.0751,19.3603,19.5791
lim-9;Q3S1I9,20.1555,21.0436,20.5461,17.5459,17.6619,21.1208,20.0137,19.8695
lim-9;Q3S1I9,17.2498,20.9428,21.0508,18.4893,21.5255,19.9551,20.3572,20.8448
pgp-2;G5EDF9,19.1434,20.2455,20.667,19.6401,16.5769,19.2307,21.0463,19.3424
pgp-2;G5EDF9,16.9269,20.7184,19.8914,17.7498,23.341,21.9295,23.7218,24.5733
pgp-2;G5EDF9,19.2824,20.4845,18.4336,17.7753,19.909,20.7687,21.3029,18.8524
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866;Q27249,20.1377,19.0934,21.4023,19.2155,20.8617,19.5611,17.9838,21.4556
lev-11;A0A0K3AQS9;A0A0K3AWP0;K8FDX2;Q22866,19.049,20.2455,19.231,18.9535,22.9261,21.746,22.1229,21.9687
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,24.5131,25.5433,25.8393,24.7071,25.3449,25.5837,26.722,24.2789
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,18.9476,18.3177,21.7191,18.7087,19.2675,19.9202,21.1537,19.4419
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;A0A0K3AWP0;Q22866,18.8794,21.5318,19.37,18.701,20.1862,20.9037,20.0813,19.2361
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,23.0312,24.175,23.9764,23.6184,25.1908,23.3092,23.1749,26.0765
lev-11;A0A0K3AQS9;A0A0K3AQT4;A0A0K3ARB5;A0A0K3AUC2;Q22866;Q27249,24.4388,25.6619,25.4762,24.7688,19.098,19.5447,18.8981,20.5491
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,19.3892,20.6914,19.4052,21.3583,20.4802,18.4788,21.3274,21.0578
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,21.3553,20.8135,19.1609,20.4094,18.2384,20.1402,20.3167,19.8738
lev-11;A0A0K3AQT4;A0A0K3AUC2;A0A0K3AWP0;K8FDX2;Q22866,23.4273,25.6183,23.5469,25.7808,25.0909,25.2353,24.7327,23.3769
;A0A0K3AUF2,24.989,25.0697,25.7064,25.695,23.4842,24.3237,24.7313,27.0153
lev-11;A0A0K3ARB5;Q27249,21.4239,18.5816,17.1574,20.7084,18.6965,17.5702,18.7603,19.4817
lev-11;A0A0K3ARB5;Q27249,18.1528,21.1239,20.0021,20.3468,21.1914,20.9461,20.577,20.3822
lev-11;A0A0K3ARB5;Q27249,18.9491,21.0836,19.6106,20.2593,19.7377,19.6367,19.8774,19.9885
egl-8;A0A0K3AS90,21.8841,23.3941,23.9261,21.9732,19.667,20.9756,19.7515,18.3044
ubxn-3;A0A0K3AWX1,18.5279,20.4503,19.7802,18.1208,26.2291,24.6718,23.6286,23.842
ubxn-3;A0A0K3AWX1,19.6015,18.2769,19.8578,20.4266,20.8702,19.9484,17.7743,20.3774
;A0A0K3AVS5,19.2328,21.4122,18.5684,18.7992,19.427,20.3006,18.7168,18.6917
fln-2;A0A0K3AW96,19.2064,18.6786,18.9338,20.2821,21.8962,22.2889,22.2839,28.1374
fln-2;A0A0K3AW96,18.0195,19.2893,19.6365,19.7068,18.9513,19.1075,21.3324,20.6168
fln-2;A0A0K3AW96,24.8451,24.9791,24.6071,24.6526,24.1065,24.0419,22.2003,22.2459
fln-2;A0A0K3AW96,21.5887,21.6373,19.3148,18.6676,22.0646,22.4318,21.0279,24.6043
oac-14;A0A0K3AWB0,24.6823,24.4977,22.9433,23.3859,25.6774,25.3331,25.09,26.0825
oac-14;A0A0K3AWB0,24.4477,24.918,24.3882,25.4792,24.3862,23.1534,20.8381,20.9396
;A0A0K3AWM6,22.1893,22.7417,22.4606,22.9553,25.9493,25.6012,25.5754,23.1712
lsy-13;A0A0K3AXE0,23.3135,23.6569,22.9244,23.761,21.0886,21.4999,20.7911,20.251
;A0A0K3AXT9,22.8458,24.3326,25.3286,23.9543,24.5488,24.5753,24.4112,25.4191
;A0A0K3AXT9,24.5952,25.5464,24.8092,25.0119,26.5519,23.7382,23.6251,26.7241
;A0A0K3AXT9,23.2431,22.989,24.3828,21.292,24.0563,23.932,20.6189,24.8547
;A0A0K3AXT9,24.6719,25.561,26.1103,24.7853,26.2573,25.6321,28.665,26.7989
;A0A0K3AY44;O44557,23.1223,24.6297,23.0697,24.6748,19.5968,20.9882,20.0661,16.4617
