geneName;Leading.proteins,log2 daf2_d15_01,log2 daf2_d15_02,log2 daf2_d15_03,log2 daf2_d15_04,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04
;A0A0K3AY44;O44557,19.8204,19.5473,19.4607,19.7054,20.3783,19.1438,21.3597,19.1152
oig-6;A0A0K3AY85;Q9BPN5,23.2743,24.0641,22.5811,24.3463,26.0559,26.5591,24.9241,25.4423
oig-6;A0A0K3AY85;Q9BPN5,19.0112,19.4806,18.4926,20.359,23.5871,23.9683,25.3567,24.4127
;A0A0K3AYE8,25.8169,25.5543,26.3048,24.9971,24.4572,24.8878,25.6251,27.91
;A0A0M7RFG7,18.7192,18.4608,19.2622,20.5113,25.3281,26.0452,24.9236,26.9336
;A0A0S4XRR1,19.7892,19.8407,21.4249,21.3841,24.5958,24.8698,26.0051,27.4777
;A0A0T7CIX3,19.8783,19.0894,19.6309,19.0376,22.9383,22.0394,22.2281,23.7173
;A0A0T7CIX3,22.4476,23.5894,22.6929,22.9612,19.4471,20.2607,17.7943,21.2995
;A0A0T7CIX3,18.2339,19.4477,20.3417,20.6335,19.5696,19.6583,19.65,20.2479
rpl-11.1;A0A131MBQ6;Q94300,19.7154,19.1922,19.439,19.0004,20.793,20.0731,19.8897,20.7316
mdt-18;A0A131MCJ5,18.7225,18.876,17.3808,18.9988,19.6294,19.1603,19.5919,20.5718
rnf-5;A0A131MD51,19.5739,21.4356,19.0641,19.958,23.4268,22.3253,22.5068,23.375
fipp-1;O16293,19.1007,21.2447,19.289,19.7215,19.0945,21.2773,19.7128,19.6396
;O02147,18.6832,19.1102,20.6793,18.719,21.308,20.1025,21.1362,21.2724
spat-2;F3Y5Q3,16.6789,20.1247,20.0422,18.748,21.9463,17.9953,20.3673,20.0127
;Q9N350,19.1539,20.3531,20.2152,20.2314,17.9309,19.3761,19.6897,21.1699
;Q9N350,18.8699,18.4687,20.1066,19.228,25.5189,23.3498,23.9741,25.3303
;A0A1N7SYR3,19.6278,19.8636,20.2616,21.3335,19.2228,20.559,18.641,19.5258
;A1IMB7,20.4523,22.2048,22.1832,21.3616,19.5254,20.1955,21.6526,20.884
;A3QMB7,17.6319,18.2987,18.4044,18.7888,21.3972,18.4257,19.7594,20.2966
;J7SF86,19.0076,20.0814,20.6708,19.6542,20.7093,18.3312,19.9624,19.0831
;U4PRJ1;Q95ZL3,20.6165,20.7691,19.0239,21.702,17.6405,20.0444,20.1618,19.7342
dhs-3;A5JYX4,18.7163,20.0395,19.5082,19.2127,19.3751,18.7574,18.2992,21.2439
dhs-3;A5JYX4,25.44,25.662,25.8266,24.9303,26.0653,24.4665,24.5951,22.2333
dhs-3;A5JYX4,20.132,21.7808,18.9932,19.2551,19.6341,18.7559,17.1171,19.9607
dhs-3;A5JYX4,16.0522,20.3897,19.817,19.9238,20.3104,19.1644,20.2899,20.6981
dhs-3;A5JYX4,18.5103,21.7444,19.5785,19.3377,19.9937,19.1796,18.7537,19.0696
;A5PEY0,25.0144,26.2196,26.6622,25.2368,24.4365,24.4373,22.4575,22.6709
;I2HA81,26.1084,25.2943,24.7101,27.3164,26.4672,26.8578,25.2635,27.0423
;A5Z2W7,24.85,26.1873,25.1369,25.3771,19.471,19.3592,17.832,17.7603
;A5Z2W7,17.2929,20.6773,19.6286,20.7095,19.3769,19.325,21.6318,20.2849
;A6PVA5,17.8576,20.0067,20.2908,18.2716,20.6991,21.6252,19.4246,21.1426
;Q20621,21.1221,21.2677,21.1657,22.8519,23.3649,21.8957,23.5654,23.609
tag-296;A7DT41,20.1947,19.2356,20.6366,20.3541,20.5935,21.7645,19.3712,19.1424
tag-296;A7DT41,22.6025,22.2099,23.0785,21.3064,22.4544,21.8561,19.5834,24.9286
tag-296;A7DT41,18.2015,18.3157,18.3216,18.69,17.7756,20.1566,18.4736,21.3917
tag-296;A7DT41,22.9246,23.9797,23.2708,22.5694,19.091,17.5619,18.9025,20.811
tag-296;A7DT41,21.6223,21.3458,19.3817,18.9936,19.1749,18.4957,18.0406,18.3972
tag-296;A7DT41,19.8265,18.5372,16.9959,20.3545,20.5073,20.3168,21.9282,22.0797
mrg-1;Q9XWW2,20.4138,20.6969,18.6047,19.3115,19.2066,20.0383,21.0622,20.329
mrg-1;Q9XWW2,18.2866,19.8391,21.5308,20.9095,23.1948,24.4294,22.7508,22.6426
igcm-3;A7LPD6,20.8021,18.6108,21.4502,19.943,18.926,20.0805,18.5009,19.5047
igcm-3;A7LPD6,22.5658,23.7734,23.3864,24.543,26.0879,24.9093,24.6182,25.1035
gpdh-2;A7LPE6,17.7102,19.6702,19.2313,19.1203,20.3762,19.4208,20.2701,21.31
;Q5FC71,19.8956,19.9982,19.3812,20.4882,24.7144,23.6264,24.8191,26.0258
;Q5FC71,18.2681,18.1544,19.9249,17.3854,24.6505,24.6861,24.9436,24.4827
;Q5FC71,20.9254,20.1818,20.987,18.1146,26.0837,25.0074,23.2823,23.3559
;Q5FC71,26.1607,25.7528,26.0474,26.7204,25.5513,25.8081,27.8173,23.9464
;Q5FC71,27.1809,28.337,30.6158,29.3041,32.2679,33.0049,29.3953,29.1028
;Q5FC71,20.2073,20.0412,19.5822,18.7399,17.368,19.1597,20.3166,20.673
;A8WFH7,23.3037,24.2573,24.3991,24.1401,25.063,23.6007,22.0982,25.3421
;A8WFH7,26.8728,24.5494,23.3343,26.4388,25.7008,24.2427,25.4262,25.9514
;A8WFH7,20.0259,21.6593,20.1693,19.1683,24.6478,24.9616,23.6429,24.1458
;H2KYH9,18.8725,17.3345,19.6855,21.5193,19.3879,20.8717,19.7479,19.0681
mdt-28;A8WHP8;Q65ZB1,22.8864,23.2635,23.3742,24.8535,24.0634,23.4967,23.0104,24.4816
mdt-28;A8WHP8;Q65ZB1,18.645,21.2241,20.125,21.0957,17.1354,20.8986,20.093,20.5329
mdt-28;A8WHP8;Q65ZB1,24.3083,24.876,23.5463,23.2606,21.3205,20.2522,20.2152,19.3479
mdt-28;A8WHP8;Q65ZB1,18.0383,18.5571,21.2864,18.0249,20.9376,20.4717,20.1587,20.062
mdt-28;A8WHP8;Q65ZB1,18.8674,19.2016,18.9095,20.8581,24.5639,23.7705,23.2198,25.8315
mdt-28;A8WHP8;Q65ZB1,19.7459,21.7575,18.216,17.467,20.4907,19.6433,20.3711,19.3644
mdt-28;A8WHP8;Q65ZB1,22.4921,22.6352,23.1711,21.9737,21.0831,19.973,19.809,20.0161
mdt-28;A8WHP8;Q65ZB1,20.4846,20.8112,20.4014,19.4404,23.7258,23.0494,24.1707,24.1196
mdt-28;A8WHP8;Q65ZB1,20.5093,19.9838,20.6276,18.1366,20.4522,19.4025,21.5374,19.0613
mdt-28;A8WHP8;Q65ZB1,19.1594,19.6987,20.5422,20.1382,21.5143,19.4221,18.579,17.8617
;A9UJN7;Q7YXB8;Q18494,20.6753,21.1221,18.6594,19.9755,23.5053,23.7493,23.0876,21.2754
;A9UJN7;Q7YXB8;Q18494,20.0487,21.1655,20.9676,19.7518,19.2311,20.6968,18.6077,19.3129
;A9UJP1,19.2747,18.6067,19.4322,21.4711,21.3933,19.4812,18.0198,17.034
;A9UJP1;Q95ZR6;Q9XVL1,19.8878,20.8049,19.208,19.1284,19.2506,20.6364,20.4422,19.6897
;A9UJP1;Q95ZR6,23.8331,23.0792,22.2913,23.8028,21.3871,21.2699,20.2688,21.9666
;A9UJP1;Q95ZR6;Q9XVL1,22.5704,22.2897,24.597,21.7233,25.6334,26.8699,24.638,23.9589
;A9Z1K9,20.758,19.4392,19.2736,18.3697,21.5394,23.5686,23.0814,24.5124
hsp-43;B0M0L8;H2KYS1,23.1719,23.0548,23.6366,21.5808,25.3746,24.7047,25.5014,22.9531
hsp-43;B0M0L8;H2KYS1,27.1923,27.8825,26.3383,23.7252,24.8394,24.8236,23.7881,25.6991
hsp-43;B0M0L8;H2KYS1,21.5333,19.4082,19.8641,19.915,21.5699,21.4254,18.283,17.4387
hsp-43;B0M0L8;H2KYS1,26.6421,26.3261,25.1795,25.3638,23.7064,23.9818,24.5245,24.5644
;B0M0N4,19.1738,20.5474,19.5135,16.1275,22.921,23.0128,23.1922,22.0914
;B0M0N4,18.0847,18.9521,20.2411,17.3731,24.8491,24.2209,23.299,23.6631
;B0M0N4,19.5514,20.8068,19.826,16.4835,20.8989,20.4911,20.9516,19.9531
aat-6;B2D6M4,22.7578,23.1097,24.3148,22.9021,25.0242,24.7169,22.3951,25.4842
aat-6;B2D6M4,17.253,18.1076,20.2682,18.1702,20.3312,18.7969,18.3435,20.3708
rmd-2;B2D6P1,18.2705,21.3844,18.7737,19.5105,19.6455,19.1665,20.5828,19.0339
rmd-2;B2D6P1,20.158,20.9217,20.3969,20.0411,20.9456,18.1367,19.7739,19.7587
urm-1;B3CKG1,20.266,21.0645,20.6188,20.4849,25.5169,24.6765,24.299,25.4706
;B3WFT8,18.4821,19.8177,20.006,19.644,18.8906,21.6798,19.3382,21.1018
;E1B6S9,19.9847,18.3855,19.8987,19.0092,18.5055,19.5159,20.471,20.5876
abts-1;G5EC65,20.3845,19.0909,20.7047,19.6353,20.0137,18.961,20.0984,20.9006
;B3WFW7,19.7862,20.9401,20.1099,19.6194,21.6492,20.9017,20.363,19.6692
;B3WFY5,23.4149,23.7315,27.1289,24.315,20.1471,19.9224,20.5159,20.0643
;B3WFY5,19.3582,20.4076,20.0051,18.2451,20.6087,19.3633,18.5213,19.5588
;B3WFY5,21.9279,21.1901,21.2037,22.1223,20.3188,20.6144,18.0508,19.5831
ifg-1;B5BM23,17.7966,19.0075,19.8149,20.4367,24.6554,28.001,26.9035,24.9911
ret-1;B5U8N2,19.3527,18.7334,19.0145,19.3477,20.9275,18.458,19.2809,19.8195
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.2633,18.4588,20.4388,17.5074,18.5891,19.3945,18.1408,19.2951
ret-1;B5U8N2;Q23187;Q23188;Q7JLB0,20.5519,19.1668,21.1441,18.3377,20.2823,22.04,22.2431,20.3698
pgp-5;B6VQ78,19.6435,19.7078,19.4343,20.7515,20.4379,21.6183,19.0797,21.4703
pgp-5;B6VQ78,19.0605,19.6628,21.3169,19.7396,20.8038,20.1511,20.7912,16.8367
pgp-5;B6VQ78,18.7448,19.4361,20.5701,19.7201,24.3378,23.3053,24.5415,24.1716
pgp-5;B6VQ78,20.5243,22.2868,22.6806,21.9646,19.6729,20.173,19.3842,21.3401
;D9PTN8,18.5618,19.1817,19.889,19.9538,18.6103,21.5009,19.9923,20.8981
T05H10.4;B7WN71,18.3699,20.2467,18.182,19.4032,21.3051,20.4612,21.3318,20.9079
rpl-32;B7WN95;Q22716,20.4706,19.6986,18.1941,19.7211,18.6339,18.9948,20.5597,19.0219
;B7WNA1,19.2965,18.9987,19.1889,19.6038,18.9649,19.6399,16.1957,20.7917
ztf-18;B9ZSG9,19.674,20.0255,18.6412,18.8489,19.2492,21.4031,20.1159,21.6253
uba-1;C1P636,27.7008,26.7488,27.4769,27.3912,19.3069,20.02,20.2565,18.1938
uba-1;C1P636,22.9692,26.3648,25.376,24.413,19.9231,20.8242,19.1974,20.7405
uba-1;C1P636,25.8866,25.6956,26.2341,24.5328,29.0672,29.0811,26.665,28.3934
uba-1;C1P636,19.2177,20.1429,19.4047,20.8035,24.2992,24.5216,22.8176,21.8888
uba-1;C1P636,17.9553,21.2553,16.7793,21.7272,23.1656,24.346,23.0557,21.3466
;C6KRI9,20.7414,21.158,19.3679,21.1913,20.5404,19.9961,19.447,21.0194
;C6KRJ1,22.949,22.8606,24.4534,24.4054,25.8227,24.1202,22.8888,23.3619
;C6KRJ1,21.2327,21.8295,18.2657,17.4938,20.4345,20.0403,21.2073,19.0621
;C6KRL2,21.0431,20.7774,19.4863,20.2261,18.5006,18.7205,21.3008,19.9102
;C6KRL2,17.5634,20.2593,20.2766,20.7387,23.4956,24.7054,24.6075,27.8132
;C6KRL2,19.5013,20.1225,18.5821,19.3218,19.3605,18.5214,20.1183,21.3487
sao-1;C6KRN1,20.4915,21.1809,20.6294,18.8108,20.1329,17.7984,19.8138,19.1514
sao-1;C6KRN1,18.7834,21.633,19.4782,20.5855,20.8556,18.1967,20.8979,20.3967
;C7GIK1,22.2957,22.4606,23.6504,22.941,23.5984,23.4143,23.2184,24.3659
fln-1;D0IMZ5;U4PM01,17.2497,19.7816,18.6444,18.6436,19.2979,19.2886,19.6966,19.6906
fln-1;D0IMZ5;U4PM01,20.4579,18.016,20.0986,16.2599,19.5925,16.6559,21.1961,19.1623
laf-1;D0PV95,19.026,18.8259,19.7958,20.6101,18.8704,21.7591,20.52,18.4742
sql-1;D0Z5P0,19.0256,19.215,18.7473,20.3153,20.5393,20.9306,21.6536,21.1374
sql-1;D0Z5P0,17.7092,20.7841,18.4649,19.1874,20.1201,21.1421,19.0406,18.0569
sql-1;D0Z5P0,19.2621,19.6182,17.6342,18.4357,19.8864,19.7668,21.1806,16.021
;Q22832,23.0937,23.0485,24.3155,23.4028,24.0439,23.8433,25.3622,24.9494
;Q22832,19.5397,19.2291,20.6574,16.6171,19.7646,17.9543,20.127,21.2347
;Q22832,19.6961,20.9385,20.2637,19.0692,25.3624,25.2572,25.1702,23.4636
;Q8WQB8,18.7886,18.4448,21.4132,19.2394,18.4305,20.9784,19.6773,20.6198
tag-349;D3NQB5,20.3307,20.9601,19.4805,18.2813,23.4123,24.1932,22.8003,21.5
cfp-1;D3YT77,24.1438,24.3426,22.5823,23.975,19.3097,18.3441,18.0231,20.7098
cfp-1;D3YT77,21.8203,22.5435,24.0178,22.5739,21.7809,22.3597,22.0871,25.3584
dct-16;D4YWC3;Q9XX57,18.9142,20.1141,19.4961,19.7609,23.8583,21.5727,23.4534,24.4968
dct-16;D4YWC3;Q9XX57,23.2902,25.0463,23.4214,24.1096,20.9687,18.2309,18.6762,20.0852
dct-16;D4YWC3;Q9XX57,25.9447,26.3349,26.0917,25.0399,21.6598,18.83,21.4326,19.1028
dct-16;D4YWC3;Q9XX57,18.6027,18.8599,16.9611,18.9917,19.5009,19.2418,20.1568,19.9743
dct-16;D4YWC3;Q9XX57,24.7816,26.302,25.8095,24.7181,22.4403,21.7384,23.933,21.8328
dct-16;D4YWC3;Q9XX57,18.081,19.5854,18.5083,19.1319,21.0613,17.9171,20.3933,21.3056
dct-16;D4YWC3;Q9XX57,20.3074,18.3537,18.1087,19.952,18.6294,18.1736,18.6854,19.27
larp-1;D5MCN2,21.1467,19.5556,19.0781,18.9934,20.6012,18.8223,19.3996,21.9045
sup-26;D5MCQ2,18.8687,19.5902,20.3204,20.0103,21.3981,22.3766,22.0579,20.421
;O17698,18.7278,20.6151,17.9973,19.6184,20.2875,19.6054,21.3499,18.9482
mdt-9;D5SGZ9,19.629,20.1536,18.6924,18.8233,19.6164,20.7472,18.8844,19.2969
mdt-9;D5SGZ9,21.2519,20.2825,19.9894,20.569,19.8607,21.7844,19.5964,17.5752
mdt-9;D5SGZ9,18.5031,21.0808,19.748,20.0726,20.7988,21.0275,19.3295,18.8729
nstp-10;C50F4.14;D6R8W5,18.7895,19.6993,19.6063,21.8178,21.4353,19.3251,21.4841,18.4386
math-38;D6VPA0,18.5305,18.1271,20.5708,18.6003,22.0731,22.3152,22.4858,22.2023
;D7SFI3,19.3525,18.9399,18.8102,17.7072,21.8938,17.2162,21.0041,19.49
gsto-1;D7SFI3;P34345,25.0042,24.7764,26.0137,25.5909,24.4046,24.112,23.997,23.4052
;D7SFI3,20.0314,19.9788,20.57,20.0117,21.9387,21.7323,19.3936,19.951
;D7SFP5,19.2452,20.4627,18.8628,21.1228,19.7503,20.4103,21.265,20.8852
;D7SFP5,18.698,19.2478,21.2026,20.6352,16.4054,18.4077,21.2229,20.6242
cup-5;D7UU24,19.3703,21.7601,19.0059,20.1663,19.7748,19.8578,19.3836,19.3676
cup-5;D7UU24,21.2234,17.7946,19.5148,20.2606,21.6993,19.5355,17.6714,20.4648
myrf-2;Q9U3I3,21.0144,17.4525,20.1776,20.5172,20.0896,19.7406,19.8324,20.4793
snx-6;D9PTP5,19.6057,19.7345,20.7807,19.4985,19.9042,18.9178,16.2128,17.788
snx-6;D9PTP5,21.5702,18.5996,19.8316,18.8321,20.4092,19.2159,19.3386,18.297
snx-6;D9PTP5,19.1157,20.9234,19.1571,20.6332,19.6739,20.1947,19.1326,21.3461
;E0AHE1,19.9896,19.5121,19.4418,18.0267,23.0031,22.3217,24.0063,24.4271
ent-7;Q20396,23.9415,23.2762,24.6398,24.7561,26.2846,24.8903,25.8383,25.5543
;E1B6S4,19.254,16.5689,19.9233,21.1081,21.5491,22.9226,24.871,22.5627
C27A7.1;E1B6U2,18.7058,20.7953,17.9807,18.6959,23.929,24.0364,25.0964,23.1027
rsd-2;E1B6W0,25.0146,25.102,26.5504,26.5668,28.5413,28.261,26.5334,22.6261
hpo-34;E3W743;Q93636;Q93637,19.5499,21.6473,18.6618,20.9563,19.4698,19.407,19.8275,17.5268
hpo-34;E3W743;Q93636,19.9794,20.2368,19.4848,19.1537,20.0074,19.5519,17.5674,20.1372
hpo-34;E3W743;Q93636,18.396,19.0015,20.027,19.0836,20.0883,21.5449,20.3009,19.5996
hpo-34;E3W743;Q93636,17.5359,21.2635,21.499,15.8072,18.2948,17.7425,18.9372,20.7214
hpo-34;E3W743;Q93636,19.8804,18.3062,20.1295,18.8133,20.0467,21.0779,19.7661,20.8193
hpo-34;E3W743;Q93636,19.3468,20.1755,20.9784,20.2805,21.3542,19.4475,18.4206,21.3112
hpo-34;E3W743;Q93637,21.4912,20.587,20.5222,18.9356,19.6761,20.3826,19.1973,18.5781
hpo-34;E3W743;Q93637,19.5206,21.0762,20.2064,20.29,19.756,21.5578,19.0442,19.5797
hpo-34;E3W743;Q93637,21.0054,18.6208,20.1056,21.2682,24.9955,23.1551,25.5042,22.7257
hpo-34;E3W743;Q93636,18.6865,19.8835,21.5346,18.9204,20.4887,20.0819,19.0151,19.1537
hpo-34;E3W743;Q93636,21.1284,19.3044,17.7394,21.4766,21.0101,20.7695,19.9182,20.6416
hpo-34;E3W743;Q93636,18.3581,19.8799,19.9208,19.2471,24.619,24.5307,24.2829,21.9412
hpo-34;E3W743;Q93636;Q93637,17.9663,21.1354,17.0379,21.597,17.693,20.8738,20.3564,19.5591
hpo-34;E3W743;Q93636,20.5544,20.0705,20.3062,19.4749,20.1254,19.8166,20.7007,19.3465
;E3W759,23.0788,23.7842,23.5999,23.6614,20.9392,20.129,21.0024,19.7439
dnj-14;Q21162,17.8676,19.9636,20.303,21.3869,20.8982,19.6229,19.7787,20.8728
dnj-14;Q21162,21.4918,20.1998,20.3549,19.7311,20.3904,19.6184,18.7218,20.7842
dnj-14;Q21162,23.6846,24.1238,22.4931,24.9414,27.0644,26.1601,23.7526,25.3785
dnj-14;Q21162,21.7689,21.9148,22.5964,22.9578,24.6941,23.3203,22.6984,25.1834
mca-1;F5GU98,18.4269,19.0028,21.1149,20.5721,27.0809,25.4645,23.4729,22.9605
mca-1;F5GU98,26.9491,25.9999,26.1526,25.8082,30.9591,30.2948,28.2682,29.8961
mca-1;F5GU98,23.4423,23.7714,23.2042,23.9621,25.3941,24.5854,26.4025,23.3723
mca-1;F5GU98,18.7056,18.9468,17.2448,20.6488,18.6861,18.8268,20.0567,20.0492
mca-1;F5GU98,19.7189,20.4488,17.1987,18.8627,18.4593,18.1113,19.8684,20.0161
;F5GUH0,20.1698,19.8744,19.3804,21.0512,19.3909,18.9897,19.9869,18.8528
;F5GUH0,24.1658,24.5072,23.6697,24.2302,23.1278,23.3311,21.8899,21.1776
;F5GUH0,18.9796,18.4124,21.3902,20.7015,21.5083,20.5109,20.4935,20.2051
lea-1;F5GUH5;H2FLK8;H2FLK9,18.5171,21.1316,19.7788,20.392,19.5375,20.9479,20.4123,17.4598
lea-1;F5GUH5,24.7026,23.7067,22.6129,23.8248,22.6418,22.1889,22.694,23.9997
lea-1;F5GUH5;H2FLK8;H2FLK9,19.7152,19.9118,17.7812,18.2245,20.5658,19.7671,19.987,19.5756
lea-1;F5GUH5,19.1642,21.0579,19.0703,19.428,23.2363,22.515,23.1371,23.6215
lea-1;F5GUH5,23.8943,24.171,23.9042,24.0252,24.5193,23.2254,22.3751,25.3901
lea-1;F5GUH5,18.6259,18.3051,21.0723,19.0431,18.2586,21.1681,17.886,21.283
lea-1;F5GUH5;H2FLK8,18.7506,20.7393,20.2374,18.1614,21.46,19.4497,20.4328,19.4021
lea-1;F5GUH5;H2FLK8,19.2348,19.1243,20.9028,19.877,20.0819,20.4092,21.3217,21.2655
lea-1;F5GUH5,22.2501,23.3514,23.4734,22.6677,19.8339,21.0678,19.5667,19.569
lea-1;F5GUH5;H2FLK8;H2FLK9,18.6415,20.6048,18.9005,18.9321,19.7619,20.4334,19.9032,19.1691
lea-1;F5GUH5;H2FLK8,24.0202,24.2891,24.2304,23.7033,20.2409,20.0189,20.2749,20.0735
lea-1;F5GUH5;H2FLK8,20.0296,19.3506,20.352,21.8211,20.3171,19.7158,19.5914,20.5238
