geneName;Leading.proteins,log2 N2_d15_01,log2 N2_d15_02,log2 N2_d15_03,log2 N2_d15_04,log2 N2_d5_01,log2 N2_d5_02,log2  N2_d5_03,log2 N2_d5_04
;A0A0K3AXT9,26.5519,23.7382,23.6251,26.7241,23.1995,23.1103,22.5907,23.4123
;A0A0K3AXT9,24.0563,23.932,20.6189,24.8547,21.0903,20.3276,20.5,21.1932
;A0A0K3AXT9,26.2573,25.6321,28.665,26.7989,24.9417,22.9695,24.0447,25.0233
;A0A0K3AY44;O44557,19.5968,20.9882,20.0661,16.4617,21.718,20.6425,21.9202,22.8842
;A0A0K3AY44;O44557,20.3783,19.1438,21.3597,19.1152,21.8112,21.4014,20.9117,20.0854
oig-6;A0A0K3AY85;Q9BPN5,26.0559,26.5591,24.9241,25.4423,24.8996,24.8557,22.1453,23.861
oig-6;A0A0K3AY85;Q9BPN5,23.5871,23.9683,25.3567,24.4127,21.2685,20.0667,21.3877,21.8274
;A0A0K3AYE8,24.4572,24.8878,25.6251,27.91,27.9055,27.0344,27.5142,26.667
;A0A0M7RFG7,25.3281,26.0452,24.9236,26.9336,21.2617,21.7142,20.3843,21.4964
;A0A0S4XRR1,24.5958,24.8698,26.0051,27.4777,24.4258,22.9297,24.3081,23.7522
;A0A0T7CIX3,22.9383,22.0394,22.2281,23.7173,21.6439,21.5395,19.9315,21.6258
;A0A0T7CIX3,19.4471,20.2607,17.7943,21.2995,21.3052,20.7546,21.0599,21.2222
;A0A0T7CIX3,19.5696,19.6583,19.65,20.2479,21.269,20.3956,20.863,22.8918
rpl-11.1;A0A131MBQ6;Q94300,20.793,20.0731,19.8897,20.7316,24.9599,26.4599,24.8678,25.0134
mdt-18;A0A131MCJ5,19.6294,19.1603,19.5919,20.5718,22.3347,23.0865,22.1952,23.197
rnf-5;A0A131MD51,23.4268,22.3253,22.5068,23.375,23.9651,23.6088,24.0779,23.4445
fipp-1;O16293,19.0945,21.2773,19.7128,19.6396,21.9341,19.9444,21.4413,20.7045
;O02147,21.308,20.1025,21.1362,21.2724,22.8932,22.4723,23.4205,23.8374
spat-2;F3Y5Q3,21.9463,17.9953,20.3673,20.0127,20.6423,21.2153,20.9879,21.7316
;Q9N350,17.9309,19.3761,19.6897,21.1699,23.3747,22.079,22.1664,22.4012
;Q9N350,25.5189,23.3498,23.9741,25.3303,24.1499,24.1082,22.3118,24.3778
;A0A1N7SYR3,19.2228,20.559,18.641,19.5258,20.8211,20.3356,21.5111,21.2207
;A1IMB7,19.5254,20.1955,21.6526,20.884,23.5733,21.7845,22.8928,22.3574
;A3QMB7,21.3972,18.4257,19.7594,20.2966,19.9455,20.6474,20.1293,21.8976
;J7SF86,20.7093,18.3312,19.9624,19.0831,20.7098,21.5219,20.5711,21.7545
;U4PRJ1;Q95ZL3,17.6405,20.0444,20.1618,19.7342,21.8276,20.8291,20.0543,20.3575
dhs-3;A5JYX4,19.3751,18.7574,18.2992,21.2439,21.5185,20.5444,20.9012,21.6549
dhs-3;A5JYX4,26.0653,24.4665,24.5951,22.2333,23.8395,23.0608,23.9176,25.3203
dhs-3;A5JYX4,19.6341,18.7559,17.1171,19.9607,20.7993,19.6805,20.9888,21.5947
dhs-3;A5JYX4,20.3104,19.1644,20.2899,20.6981,21.698,21.3442,21.4864,21.7275
dhs-3;A5JYX4,19.9937,19.1796,18.7537,19.0696,21.0697,20.5825,19.883,20.5889
;A5PEY0,24.4365,24.4373,22.4575,22.6709,27.4033,26.922,25.801,26.8877
;I2HA81,26.4672,26.8578,25.2635,27.0423,26.6272,25.9055,27.2079,26.4594
;A5Z2W7,19.471,19.3592,17.832,17.7603,20.8655,20.101,21.3691,21.1898
;A5Z2W7,19.3769,19.325,21.6318,20.2849,24.4835,24.6633,24.3086,24.2365
;A6PVA5,20.6991,21.6252,19.4246,21.1426,21.99,22.4947,22.7624,22.5354
;Q20621,23.3649,21.8957,23.5654,23.609,21.6043,20.7484,20.4864,21.8316
tag-296;A7DT41,20.5935,21.7645,19.3712,19.1424,19.6347,21.7686,21.4388,20.9624
tag-296;A7DT41,22.4544,21.8561,19.5834,24.9286,21.7511,20.3296,20.3976,20.8546
tag-296;A7DT41,17.7756,20.1566,18.4736,21.3917,24.5874,23.6456,22.4487,24.0283
tag-296;A7DT41,19.091,17.5619,18.9025,20.811,21.5633,20.72,20.9932,21.6218
tag-296;A7DT41,19.1749,18.4957,18.0406,18.3972,24.3909,24.2133,23.16,25.5037
tag-296;A7DT41,20.5073,20.3168,21.9282,22.0797,24.1986,24.159,23.8291,25.9958
mrg-1;Q9XWW2,19.2066,20.0383,21.0622,20.329,21.8746,21.5367,20.9151,21.1353
mrg-1;Q9XWW2,23.1948,24.4294,22.7508,22.6426,21.433,21.69,21.3709,21.6366
igcm-3;A7LPD6,18.926,20.0805,18.5009,19.5047,21.6743,19.8499,20.6275,20.6893
igcm-3;A7LPD6,26.0879,24.9093,24.6182,25.1035,24.8229,24.2219,24.4056,24.2488
gpdh-2;A7LPE6,20.3762,19.4208,20.2701,21.31,21.5082,20.64,20.72,21.4235
;Q5FC71,24.7144,23.6264,24.8191,26.0258,20.5514,21.6184,20.6376,21.4186
;Q5FC71,24.6505,24.6861,24.9436,24.4827,25.0205,24.5169,25.2637,24.6008
;Q5FC71,26.0837,25.0074,23.2823,23.3559,25.4537,24.8747,25.349,26.1034
;Q5FC71,25.5513,25.8081,27.8173,23.9464,29.3894,25.8352,26.9694,28.0083
;Q5FC71,32.2679,33.0049,29.3953,29.1028,31.8317,31.9517,32.0767,32.8714
;Q5FC71,17.368,19.1597,20.3166,20.673,21.8161,21.795,21.4124,21.324
;A8WFH7,25.063,23.6007,22.0982,25.3421,24.3507,24.0027,24.0837,23.2815
;A8WFH7,25.7008,24.2427,25.4262,25.9514,21.6912,21.455,21.1615,20.8753
;A8WFH7,24.6478,24.9616,23.6429,24.1458,25.4484,24.5444,25.3189,25.973
;H2KYH9,19.3879,20.8717,19.7479,19.0681,20.856,19.8511,21.1275,21.5647
mdt-28;A8WHP8;Q65ZB1,24.0634,23.4967,23.0104,24.4816,25.9795,23.7884,24.1989,25.6944
mdt-28;A8WHP8;Q65ZB1,17.1354,20.8986,20.093,20.5329,21.4067,20.6294,20.3271,21.3441
mdt-28;A8WHP8;Q65ZB1,21.3205,20.2522,20.2152,19.3479,20.6801,20.7892,20.8094,21.5652
mdt-28;A8WHP8;Q65ZB1,20.9376,20.4717,20.1587,20.062,20.5494,21.4381,20.9353,21.7761
mdt-28;A8WHP8;Q65ZB1,24.5639,23.7705,23.2198,25.8315,20.6053,21.1263,21.0482,20.5405
mdt-28;A8WHP8;Q65ZB1,20.4907,19.6433,20.3711,19.3644,21.6531,21.7826,21.1732,20.804
mdt-28;A8WHP8;Q65ZB1,21.0831,19.973,19.809,20.0161,27.3389,24.6685,24.4938,25.1839
mdt-28;A8WHP8;Q65ZB1,23.7258,23.0494,24.1707,24.1196,19.8402,21.3724,20.8171,21.6808
mdt-28;A8WHP8;Q65ZB1,20.4522,19.4025,21.5374,19.0613,20.9013,20.9918,20.9498,21.8694
mdt-28;A8WHP8;Q65ZB1,21.5143,19.4221,18.579,17.8617,21.6727,20.885,21.2466,21.206
;A9UJN7;Q7YXB8;Q18494,23.5053,23.7493,23.0876,21.2754,23.6844,22.0823,21.9277,22.9472
;A9UJN7;Q7YXB8;Q18494,19.2311,20.6968,18.6077,19.3129,21.3487,20.1665,21.3505,21.8295
;A9UJP1,21.3933,19.4812,18.0198,17.034,21.7495,21.4073,20.976,21.7883
;A9UJP1;Q95ZR6;Q9XVL1,19.2506,20.6364,20.4422,19.6897,22.4597,23.5879,23.175,23.6967
;A9UJP1;Q95ZR6,21.3871,21.2699,20.2688,21.9666,22.7035,22.3939,20.4529,21.9649
;A9UJP1;Q95ZR6;Q9XVL1,25.6334,26.8699,24.638,23.9589,22.8473,21.9395,23.1153,22.7369
;A9Z1K9,21.5394,23.5686,23.0814,24.5124,19.9231,20.6072,20.2105,21.8903
